0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3666116168819973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37402980098006666,0.0,0.0,0.0,0.0,0.33679968095234397,0.001668560216996684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3750058778350758,0.0,0.0,0.0,0.0,0.33783947414903037,0.006627076791501207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3698447824061078,0.0,0.0,0.0,0.0,0.3409410794964113,0.006083117776035651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33993181068108763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10845829591623353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3724495539257526,0.0,0.0,0.0,0.0,0.3424618881355819,0.005655496815900829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3400851327015081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10838696054664905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34530305871497013,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40319333079540315,0.3773327880602289,0.0,0.0,0.0,0.0,0.3349789319679753,0.0006749703390363515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3374552702495511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1053270046828833,0.10893114750890777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35088815110507937,0.0,0.0,0.0,0.23738008118981305
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4137455685360109,0.3819267614624908,0.0,0.0,0.0,0.0,0.34044006803091387,0.0054553115134847174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3450538056344543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10479599057146574,0.10822757694946318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35658386609808446,0.3066968192276635,0.0,0.0,0.2389174084794204
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41413220633372205,0.3915564364787707,0.0,0.0,0.0,0.0,0.3387815090109856,0.005451119151130501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3499912944276541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1054295251378063,0.10770091810658809,0.0,0.0,0.0,0.0,0.0,0.22131381368242356,0.3529959869121511,0.3638970993944088,0.3184545160705417,0.28894795406941953,0.0,0.2401734840624033
0.0,0.0,0.0,0.0,0.0,0.0,0.17777197499180583,0.0,0.4130525946370363,0.3909579659983271,0.0,0.0,0.0,0.0,0.33693076599209715,0.0030520397939034494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34923248036048865,0.0,0.0,0.3384446549694782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1899181974488337,0.0,0.3180659005737922,0.10621579425944035,0.10692438165482569,0.0,0.0,0.0,0.0,0.26961040423728017,0.21897828103396982,0.3506786267156991,0.3717364645825549,0.3245563552941733,0.29061705191502096,0.0,0.24238071832960154
0.0,0.0,0.0,0.1938045899784292,0.26475875649148584,0.0,0.17781413585863323,0.18556891791871288,0.4225460396392967,0.39568730772354654,0.0,0.0,0.0,0.0,0.34066668962506347,0.005526581673507169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3460244119840649,0.33617341169431103,0.0,0.3405246771007049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19144974456562036,0.0,0.3247079391242728,0.1079741246740791,0.10618779301003058,0.0,0.0,0.0,0.0,0.26804092533556084,0.22052888569978474,0.3501509774936796,0.35845905412278306,0.32324431345299004,0.291230690828845,0.0,0.24442229625179765
