0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
315.472,115.429,267.147,268.997,208.174,124.032,262.214,240.416,271.595,222.698,216.21,149.127,368.105,479.789,532.254,355.861,362.456,514.635,319.768,346.92,441.206,254.751,314.644,145.779,158.279,59.993,249.864,211.729,200.123,302.294,223.927,311.918,416.198,353.756,410.238,235.19,397.817,676.838,342.295,382.985,359.35,511.474,476.265,354.42,239.855,222.633,394.771,436.415,304.462,254.584,433.584,375.796,74.021,95.352,478.649,185.068,201.962,149.497,188.212,172.925,244.624,127.703,192.654,280.817,297.865,226.941,224.399,230.654,179.671,192.184,234.453,296.168,176.363,438.961,176.759,361.467,456.952,239.965,160.716,74.94,205.324,136.506,120.053,120.81,157.972,158.859,230.215,140.58,174.146,146.185,124.458,120.322,130.478,46.784,61.497,46.33,81.372,159.869,57.132,91.989,92.906,51.099,78.641,64.115,44.94,16.724,94.39,40.352,18.73,230.083,52.883,45.76,46.791,47.383,147.709,40.117,60.741,129.77,116.928,288.022,315.472
19.727,55.247,338.155,476.206,266.834,289.182,410.282,400.283,392.571,290.459,329.879,345.221,579.248,814.032,875.259,693.88,608.096,675.022,588.658,496.371,615.231,435.95,291.976,219.813,173.672,110.94,296.598,292.181,267.449,335.164,274.437,340.546,360.907,297.138,261.721,159.176,149.479,341.865,120.746,173.298,161.267,211.302,288.35,216.107,96.821,37.68,103.046,317.462,96.12,124.988,197.746,179.744,32.52,59.247,179.805,24.36,51.54,51.22,47.763,50.795,99.63,33.249,68.679,177.389,345.48,155.083,100.867,119.594,113.858,91.232,80.471,199.348,132.361,244.733,179.032,331.926,197.878,83.687,19.244,18.924,276.041,118.415,110.484,56.723,236.859,244.433,345.736,70.422,150.469,200.22,76.873,94.936,143.183,190.344,89.212,103.227,215.25,187.887,128.546,172.397,188.806,119.092,66.804,37.669,37.301,27.495,97.623,17.627,12.733,149.801,102.042,7.903,15.887,21.219,59.325,0.817,129.175,35.143,35.971,51.055,19.727
0.0,16.548,84.772,196.232,101.486,117.91,141.541,123.971,202.164,103.713,171.333,208.216,439.373,412.364,524.006,415.446,274.136,327.632,298.275,164.391,352.095,106.772,94.652,99.462,29.353,64.426,158.635,119.244,89.134,100.722,80.806,96.312,73.522,119.818,77.636,22.448,86.545,62.338,18.712,41.281,75.569,33.083,40.11,67.392,32.112,5.278,11.61,83.872,37.17,24.928,4.167,37.614,16.097,36.509,79.022,40.419,44.184,23.463,72.958,33.491,31.214,44.568,37.186,91.699,343.639,31.209,5.078,146.182,33.482,44.236,35.829,43.906,85.088,48.785,16.129,113.093,26.731,65.59,7.014,15.684,343.596,116.365,107.937,3.048,276.735,237.21,305.194,16.947,41.064,78.058,0.464,3.179,1.634,33.769,33.204,27.59,52.377,58.938,85.291,73.353,34.471,60.428,18.424,31.495,1.73,1.821,1.382,1.463,0.676,40.602,141.822,0.916,31.899,0.0,39.944,0.0,48.796,2.425,1.017,1.655,0.0
0.0,1.791,115.725,155.903,93.664,80.629,144.783,68.928,51.711,110.818,74.735,60.606,178.413,85.126,215.925,102.06,44.347,103.349,113.622,60.267,127.729,54.186,87.185,156.71,64.39,33.706,264.003,97.32,61.601,68.913,106.349,130.593,81.561,128.626,117.309,108.076,126.762,140.231,113.125,105.389,157.024,79.123,92.779,173.003,116.18,143.284,159.93,153.347,216.805,100.749,72.832,110.098,167.312,183.976,264.813,172.4,97.161,179.932,231.138,131.026,143.077,212.032,187.931,235.589,283.017,155.289,113.038,287.844,123.077,211.907,204.959,160.866,346.403,125.712,47.195,140.219,118.812,291.365,156.451,139.741,385.82,101.047,165.765,25.412,162.184,221.669,161.902,108.15,126.757,138.665,52.408,34.072,1.096,0.035,0.887,0.963,0.069,0.094,40.768,0.123,0.042,0.095,15.891,21.132,1.758,4.065,4.449,2.527,12.932,13.4,80.835,0.0,41.258,16.93,22.472,28.153,26.64,0.0,17.919,0.0,0.0
0.602,39.933,192.383,259.509,186.023,192.393,261.951,187.986,176.767,234.548,224.128,221.675,316.677,254.097,243.155,166.548,174.129,270.867,190.279,146.438,151.574,147.77,139.346,294.482,181.02,125.359,338.724,148.58,193.717,173.281,165.858,211.423,189.856,185.32,154.821,100.899,95.59,115.28,110.8,94.057,161.324,74.121,120.973,212.002,202.054,128.429,180.442,194.154,260.455,230.211,126.937,79.368,251.444,213.572,266.052,194.339,92.726,207.721,141.447,85.187,153.828,312.192,238.409,327.595,225.336,234.553,147.856,173.968,79.394,158.291,243.365,179.94,553.32,166.394,84.897,167.543,198.821,397.971,213.042,264.683,298.515,61.012,129.869,89.666,175.655,225.266,198.55,239.234,217.986,226.61,150.642,121.57,84.532,33.302,45.376,38.345,14.965,30.155,38.635,36.455,30.319,44.947,54.426,169.297,20.612,41.546,14.017,40.566,70.467,54.341,163.966,39.915,76.333,27.316,73.833,59.762,58.313,26.779,40.209,8.272,0.602
7.341,30.592,88.667,193.227,148.706,202.365,268.335,169.479,133.152,274.05,204.084,230.002,330.952,411.457,317.027,316.119,354.957,359.488,187.583,152.138,147.008,135.462,58.198,186.141,161.509,70.303,142.459,84.701,135.477,86.054,113.382,84.463,83.593,46.828,41.115,14.625,12.663,18.64,12.457,22.286,7.481,13.693,28.104,30.608,72.12,4.268,46.313,36.087,123.301,50.381,5.144,34.331,32.107,74.901,37.515,73.711,24.537,35.688,12.497,32.349,49.596,60.668,29.272,233.256,50.596,48.201,51.429,42.339,26.805,27.667,75.067,50.626,351.233,97.634,45.52,94.605,45.307,123.392,81.824,104.683,91.386,83.449,30.765,89.894,93.881,139.362,145.276,171.833,91.425,157.456,100.02,108.249,81.928,156.229,140.412,75.962,44.525,46.904,37.611,59.153,38.293,101.444,70.787,646.721,56.324,110.856,63.349,128.395,87.367,150.55,545.864,145.096,150.141,45.101,142.893,108.198,87.251,73.316,110.764,18.539,7.341
27.391,0.0,0.094,0.222,14.623,29.939,52.953,15.564,0.193,30.639,24.773,50.039,115.169,111.397,97.806,223.338,231.041,70.629,23.048,18.127,12.583,0.149,0.06,39.706,0.179,0.099,0.51,0.183,24.824,0.0,0.225,0.0,0.15,0.0,0.0,0.0,0.0,0.052,0.0,0.029,0.0,0.004,0.0,0.064,0.0,0.0,0.363,0.119,0.27,0.0,0.0,0.0,0.06,0.144,0.0,0.0,0.0,0.142,0.0,0.0,0.094,0.131,0.0,85.813,0.275,0.051,0.009,0.0,0.041,0.0,0.057,0.039,32.377,0.109,0.138,9.122,0.343,0.201,0.166,0.321,0.025,0.202,4.611,0.235,0.25,31.924,0.229,32.33,3.373,15.505,0.365,11.553,0.142,80.451,112.316,33.049,4.817,10.188,1.528,0.0,0.0,4.509,10.634,678.507,55.627,44.433,42.645,86.294,4.081,96.965,373.75,110.076,118.21,5.11,43.898,45.817,51.884,136.313,56.519,19.255,27.391
53.827,0.0,0.0,0.0,0.0,0.855,2.189,3.203,0.0,0.0,15.715,0.155,5.621,3.781,14.355,61.062,123.403,6.795,23.37,0.958,0.41,0.0,0.0,4.736,1.794,0.0,0.0,0.047,0.0,0.0,3.418,7.781,33.028,14.131,11.231,16.475,12.223,0.043,6.607,4.368,34.863,9.733,7.222,25.124,38.161,61.103,41.996,18.975,21.836,0.0,5.318,1.411,26.803,16.705,7.925,11.606,16.909,39.553,59.072,10.17,39.186,24.793,4.321,38.149,17.14,32.566,13.484,37.712,56.338,32.613,38.136,16.245,28.264,23.58,23.502,11.015,33.254,36.405,39.519,0.072,12.417,0.308,37.001,1.045,16.095,34.284,12.629,26.554,7.217,8.887,0.0,7.336,2.87,1.54,25.15,21.167,0.0,1.412,0.212,0.0,0.0,0.0,0.0,222.768,26.142,0.0,0.0,0.0,0.0,8.121,66.597,8.25,7.247,0.0,6.071,2.785,3.828,57.189,2.84,2.669,53.827
1.356,0.154,16.328,42.729,21.487,33.984,18.138,84.927,33.586,6.811,63.486,50.773,7.221,53.502,97.436,190.16,187.708,136.129,103.797,27.94,3.088,3.533,11.945,27.362,5.274,13.672,20.345,50.529,1.412,22.268,50.381,80.85,105.715,85.951,50.085,87.177,51.535,12.493,97.984,57.941,73.233,70.608,64.726,104.998,57.427,157.591,68.156,128.684,101.81,28.272,65.96,55.516,82.515,176.019,130.671,28.779,84.343,166.955,154.485,84.436,131.463,97.33,35.632,99.762,101.612,116.12,82.16,103.738,230.852,210.421,127.175,68.67,111.472,172.725,137.147,93.315,137.157,120.322,132.846,71.649,78.492,147.941,183.067,35.748,103.967,157.07,86.62,176.36,54.672,98.671,35.913,46.767,65.563,3.701,7.88,38.862,71.781,52.103,61.272,2.976,1.229,2.696,4.577,6.315,3.14,32.807,41.531,19.585,7.076,24.881,10.487,13.802,15.356,4.615,5.063,7.522,32.948,20.041,2.516,0.057,1.356
43.967,0.0,46.345,125.996,85.702,85.953,97.24,161.566,68.359,121.656,102.196,122.917,125.707,125.889,181.821,427.595,329.399,224.191,241.459,111.981,68.862,37.945,129.45,88.67,57.789,44.386,51.14,123.284,25.11,101.476,179.7,182.338,117.391,162.174,86.231,89.486,102.819,136.678,141.838,54.037,87.362,61.518,155.629,202.87,175.306,330.459,194.625,171.067,252.206,50.3,89.328,75.22,83.764,553.893,644.51,99.461,254.634,580.931,280.254,197.136,172.144,166.836,217.324,207.978,212.327,232.068,166.485,109.993,610.168,614.655,329.387,202.462,282.784,417.655,288.251,463.524,396.134,247.95,268.672,197.404,203.684,287.39,323.19,195.54,198.956,376.973,235.372,426.031,155.002,220.884,149.56,114.674,315.2,91.316,150.451,99.057,161.301,121.887,107.149,74.28,7.299,70.482,79.238,79.389,60.271,84.381,156.74,20.267,47.169,72.616,80.89,45.639,80.341,90.915,103.979,74.678,128.832,133.518,42.805,21.389,43.967
