0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
352.807,167.306,381.187,284.348,266.642,201.578,278.674,302.396,274.904,191.017,375.261,378.843,241.824,272.189,351.705,306.54,301.439,698.695,403.24,433.943,440.806,658.715,506.792,529.331,424.224,416.787,696.971,493.939,549.371,423.507,500.774,503.592,629.491,410.838,491.656,367.661,374.011,431.867,465.918,700.975,340.467,467.62,330.169,324.21,426.564,374.708,302.199,381.357,439.433,373.809,392.618,441.687,439.892,393.889,430.89,338.053,277.514,456.274,343.463,406.315,548.102,339.637,212.956,233.543,256.469,143.457,237.336,246.24,220.358,275.008,227.287,238.201,613.362,260.351,283.909,240.06,303.677,282.174,160.892,58.661,31.605,201.752,443.789,138.585,137.391,180.737,86.47,142.552,113.266,115.41,117.222,149.505,114.468,170.12,23.627,87.45,30.444,183.607,60.867,104.15,238.838,304.735,155.238,131.903,293.652,100.777,211.527,253.942,131.469,171.391,110.091,91.65,88.692,40.441,138.581,141.664,112.778,73.303,92.336,383.045,352.807
150.293,123.01,457.721,457.101,482.206,427.912,522.569,584.046,447.857,313.261,534.016,657.94,318.605,468.561,476.037,584.458,585.136,990.662,579.096,873.9,771.058,867.978,808.167,795.147,509.328,614.276,885.673,689.726,705.966,620.014,669.706,708.99,639.025,503.139,653.331,416.261,496.138,411.382,449.45,815.45,332.746,477.327,282.69,258.076,241.433,352.378,290.987,332.809,506.226,399.761,449.264,521.102,539.248,353.326,416.945,427.037,278.255,396.674,212.322,437.811,532.742,264.097,70.569,155.196,170.858,120.33,136.609,133.785,227.162,235.98,119.535,197.012,672.127,241.288,304.906,212.114,226.639,192.19,195.802,66.176,60.548,177.879,308.314,179.112,278.076,354.756,51.563,261.164,275.723,186.588,256.673,263.027,133.454,277.472,144.478,92.848,101.331,397.645,151.174,167.868,190.14,251.194,215.131,226.464,289.607,136.289,258.623,444.675,179.648,161.774,150.828,41.34,123.646,99.99,95.837,113.274,100.99,109.577,134.352,199.805,150.293
181.241,64.806,268.493,407.426,456.069,370.885,432.805,549.21,465.848,399.089,538.151,697.995,433.94,518.694,614.727,537.176,534.859,898.812,542.279,923.377,779.797,838.906,813.085,837.933,492.388,611.195,634.718,557.458,558.594,525.426,473.672,460.185,373.166,225.917,356.023,190.956,351.024,306.362,370.708,561.544,110.826,254.337,54.426,89.639,84.738,147.633,108.091,131.204,121.137,186.956,183.149,254.49,188.055,194.897,249.679,165.406,135.315,193.107,104.182,132.704,287.403,91.626,13.35,64.642,16.38,44.19,36.95,25.87,77.29,85.973,34.053,48.147,266.544,107.046,72.682,74.994,157.733,58.825,145.486,38.395,79.951,60.862,152.585,228.987,304.045,323.958,157.778,248.027,267.376,129.053,397.491,189.606,177.629,441.257,253.929,129.579,167.273,425.865,216.391,276.258,309.395,349.762,207.681,185.523,323.598,205.758,378.677,477.064,184.812,167.38,97.351,44.052,161.731,93.503,98.514,122.848,148.737,69.874,75.119,219.484,181.241
174.831,58.437,185.049,271.148,283.512,273.89,332.857,314.611,390.654,235.001,367.126,355.376,349.747,257.444,386.415,367.977,290.147,660.506,487.188,581.55,621.088,598.047,711.499,679.71,403.473,498.536,502.413,426.434,351.558,278.807,286.325,305.759,326.713,238.655,173.886,188.779,257.249,218.048,210.34,246.679,36.031,56.752,4.82,34.302,70.983,45.382,18.815,41.514,13.832,34.6,36.484,101.072,47.356,98.235,279.313,43.325,55.272,88.311,29.426,22.491,97.881,39.235,2.669,52.078,8.513,40.562,16.639,28.345,25.984,14.707,19.684,25.354,85.951,69.358,7.203,26.869,75.367,14.44,53.747,1.769,67.872,54.882,98.074,149.58,271.304,304.886,322.412,185.37,231.998,256.721,488.614,258.677,213.715,394.276,471.19,227.978,221.722,293.371,215.805,338.249,523.445,556.453,297.119,337.105,337.928,192.27,543.681,665.502,233.109,194.653,219.806,83.411,227.23,109.984,125.303,244.808,156.818,140.387,88.242,122.661,174.831
119.079,40.306,68.875,152.337,258.925,179.42,204.092,190.914,136.021,243.738,284.232,268.062,248.514,199.224,276.056,152.298,184.391,260.523,388.339,526.873,467.808,467.64,472.624,479.832,346.823,481.163,331.59,217.04,290.387,196.997,210.641,261.733,229.764,152.148,73.852,139.449,83.476,95.352,100.185,129.231,32.142,39.221,45.001,98.136,37.266,49.54,40.254,47.565,24.719,21.877,33.199,42.631,40.971,127.082,295.466,61.276,97.586,71.941,10.929,68.909,70.512,15.226,13.903,67.346,32.506,65.813,28.745,54.316,77.721,45.838,20.002,10.634,10.784,15.094,5.801,15.807,33.589,25.505,37.55,17.314,37.067,14.773,72.664,176.108,188.176,145.925,266.796,169.014,182.817,220.374,219.088,178.984,118.653,380.788,507.252,346.919,364.299,353.259,373.998,401.053,413.903,513.855,243.344,476.343,353.304,179.577,560.172,588.706,445.331,248.024,310.814,221.367,281.972,262.582,296.308,272.982,269.765,284.215,138.798,116.386,119.079
219.579,84.854,96.465,86.798,59.638,35.796,43.227,91.643,2.621,118.302,248.641,133.65,309.988,119.219,149.441,115.243,97.346,98.758,191.208,404.853,287.451,357.817,397.146,475.509,457.137,454.103,230.716,152.204,152.273,224.535,312.071,253.677,366.931,222.378,217.738,233.282,248.461,214.163,291.69,297.829,163.387,286.497,125.471,137.771,136.617,265.097,218.178,184.108,167.999,129.444,173.422,162.301,161.38,402.922,461.825,225.693,290.849,214.32,145.022,192.727,228.043,133.772,218.326,256.164,270.619,228.71,149.637,227.375,241.632,208.644,84.951,9.079,84.246,42.013,80.688,81.484,67.179,131.238,102.157,77.221,138.289,100.711,179.89,156.133,195.332,144.024,199.696,230.862,279.03,162.151,122.341,158.523,148.305,220.735,338.988,226.432,271.18,302.668,291.647,311.878,255.303,335.765,92.766,368.876,233.037,156.158,429.384,433.541,319.173,237.5,359.03,342.703,341.545,253.751,304.964,248.539,300.682,253.007,97.092,260.156,219.579
257.903,194.083,343.867,338.803,188.111,200.232,254.347,240.002,157.171,205.832,413.073,201.925,424.864,220.162,192.277,186.957,237.435,291.966,334.257,487.151,438.701,418.452,653.523,505.355,463.612,629.751,475.003,339.486,428.444,472.461,543.805,508.09,631.429,483.981,467.653,368.025,358.778,443.914,600.66,501.571,345.59,498.566,347.864,420.489,240.574,413.109,405.395,433.0,414.014,331.471,325.395,356.709,374.938,560.508,548.285,434.22,466.413,383.398,390.646,292.372,502.807,391.597,565.484,489.322,652.728,471.388,335.454,524.649,469.931,434.373,262.776,195.85,244.638,192.939,340.775,158.44,181.107,313.284,315.026,249.9,354.329,320.062,408.588,329.498,315.18,307.464,366.178,741.056,733.132,300.693,341.25,404.734,334.754,361.669,318.006,317.798,278.852,378.176,321.59,292.455,331.542,469.175,293.941,535.402,361.051,281.846,530.206,590.657,424.999,462.023,449.462,453.281,472.883,362.353,435.751,333.987,453.715,307.784,165.511,275.1,257.903
446.103,110.044,338.202,544.963,360.507,323.968,357.204,351.848,302.297,277.155,560.824,295.771,563.687,340.5,271.451,293.793,356.437,472.089,518.352,490.333,508.227,487.571,645.639,476.391,466.035,671.738,568.946,489.879,542.325,548.843,819.664,543.333,643.777,634.837,478.778,394.923,386.951,471.248,625.931,478.762,448.229,635.981,513.107,536.852,387.094,473.229,532.185,348.72,469.23,359.791,340.709,459.622,392.106,630.806,603.97,367.999,414.736,460.91,470.203,306.891,485.448,511.209,604.799,504.814,729.726,529.484,409.586,748.068,602.35,480.889,405.155,437.272,314.766,324.746,495.083,302.42,307.866,523.758,551.626,352.597,494.225,407.402,491.712,483.398,378.103,372.966,519.758,1022.015,1278.941,710.848,626.312,733.829,664.16,823.175,586.896,539.786,605.022,697.24,702.789,610.601,625.208,697.46,704.801,1023.051,778.912,655.674,823.801,1080.353,792.837,820.662,815.092,880.953,752.407,678.283,811.486,637.99,738.55,526.801,516.207,464.596,446.103
845.804,2.664,63.296,460.187,317.216,209.812,172.725,167.718,241.642,126.08,351.478,244.189,471.501,268.209,293.246,236.361,266.006,287.465,282.72,394.054,351.721,283.286,597.951,454.0,328.884,654.305,500.415,250.0,355.984,442.979,584.763,457.717,490.554,566.641,535.654,216.825,359.796,209.158,506.317,454.594,207.844,521.109,375.936,588.978,297.947,307.343,408.994,229.123,313.337,310.034,253.993,333.026,237.649,332.384,499.934,359.726,277.576,187.142,236.73,295.051,317.202,364.117,343.006,335.294,450.159,479.093,471.168,559.699,331.088,422.459,343.915,395.723,274.356,319.933,359.112,325.175,272.071,380.525,476.187,390.893,423.193,316.901,365.238,413.947,383.984,399.787,508.292,876.242,1428.333,816.471,645.447,861.949,767.068,1194.072,897.982,736.503,624.611,910.609,994.408,1026.326,951.895,913.783,862.125,1295.094,1009.738,753.305,863.658,1185.317,967.773,938.66,941.722,975.356,1037.605,1077.119,1167.479,1057.658,990.745,879.052,666.627,600.906,845.804
1045.212,10.026,23.753,238.12,174.194,93.518,89.307,47.582,129.352,78.688,159.129,132.907,210.68,130.386,121.2,176.05,181.941,160.036,250.164,191.622,252.387,231.486,314.873,205.572,264.967,449.994,293.273,173.897,196.913,296.212,294.979,291.255,433.807,446.176,366.464,181.941,344.653,205.431,472.84,500.655,196.965,300.725,177.672,412.587,179.312,244.105,292.329,247.986,168.553,135.71,151.252,186.687,185.773,153.306,471.813,340.48,265.458,121.226,111.551,169.52,200.632,113.833,214.098,232.377,321.699,175.744,406.032,387.037,271.653,439.267,196.866,204.953,147.277,115.451,187.677,127.426,207.327,233.515,332.57,327.181,383.209,339.77,302.96,241.885,247.481,287.58,343.0,545.412,1126.886,622.874,568.0,487.487,421.891,1113.154,1044.098,908.568,664.685,793.351,690.151,989.535,814.617,920.76,736.021,1204.068,915.337,820.83,663.277,928.844,747.034,761.303,586.266,699.601,919.002,857.601,975.201,950.651,775.15,774.416,723.254,637.204,1045.212
1218.001,31.049,11.558,53.402,41.08,79.549,60.561,62.415,115.587,61.301,89.655,58.169,151.133,66.046,46.028,116.594,61.023,93.764,113.752,124.976,151.313,277.252,321.082,251.337,246.577,337.499,189.577,147.876,170.911,152.658,226.833,404.922,398.342,320.97,298.666,277.262,289.357,293.824,407.588,354.76,379.269,347.492,74.416,531.042,118.819,363.214,273.954,346.159,251.226,107.207,176.526,121.73,178.23,167.704,460.063,479.665,324.264,166.894,92.486,82.988,322.111,248.48,358.59,229.259,321.845,166.405,473.225,435.338,372.697,535.859,132.212,143.893,140.488,77.589,164.829,127.991,329.555,271.093,493.765,450.188,476.548,401.424,523.504,201.874,131.528,304.051,267.178,165.181,560.863,360.37,349.122,260.406,196.646,951.025,843.521,814.477,364.224,488.852,323.353,725.23,534.119,765.597,471.32,858.837,695.242,643.476,493.474,512.219,521.799,487.393,437.212,406.795,526.996,588.328,810.566,643.297,381.987,503.164,504.277,580.608,1218.001
1205.707,109.29,115.371,148.775,22.041,89.225,44.349,93.369,154.539,104.401,189.548,111.313,123.372,43.349,147.946,176.227,83.919,90.698,45.355,107.709,115.315,279.158,225.364,212.556,245.679,352.329,308.799,259.161,272.958,387.09,362.785,604.842,624.324,652.061,359.587,368.506,382.294,423.338,441.454,604.724,553.526,457.12,262.607,529.495,316.658,482.574,264.294,361.816,497.219,282.633,347.257,211.111,279.363,265.045,532.758,364.815,407.275,365.195,265.752,316.806,374.265,449.736,449.803,273.092,416.633,371.558,517.462,513.824,464.628,619.266,314.384,310.125,303.789,397.111,296.812,347.434,509.691,530.482,562.709,536.274,526.047,531.025,668.681,355.364,238.851,396.572,475.932,225.513,466.236,429.174,552.733,424.56,199.48,737.092,662.91,586.739,209.486,496.825,374.832,614.518,380.724,603.333,455.963,939.501,518.609,386.825,451.872,540.256,474.406,394.947,406.587,432.389,467.732,628.598,724.603,667.43,291.894,455.527,512.233,435.831,1205.707
1052.261,253.703,272.14,252.795,112.653,63.055,72.562,157.896,199.287,129.673,149.895,110.325,89.089,78.9,132.788,201.655,154.663,131.596,124.27,127.527,156.181,306.267,210.085,155.398,239.961,391.57,375.0,294.962,296.695,363.444,417.515,555.403,513.236,774.779,335.147,274.986,378.262,515.272,418.328,538.383,536.0,436.09,389.864,477.561,351.818,410.61,228.076,313.815,407.838,266.214,351.131,323.209,363.375,393.462,402.847,329.611,312.909,434.186,290.166,355.934,389.542,383.197,424.775,343.918,384.155,476.759,482.901,471.649,396.675,552.697,300.965,344.884,349.652,573.54,425.803,408.263,482.178,535.399,560.907,578.423,468.237,432.026,511.322,291.116,277.97,455.77,443.881,464.712,480.555,521.712,552.413,579.068,344.125,682.271,635.278,576.743,304.601,524.251,383.105,610.973,333.101,713.476,521.74,973.945,530.459,506.229,435.082,580.871,318.44,534.674,511.475,455.42,603.402,655.801,612.726,762.606,360.078,717.43,538.739,402.2,1052.261
794.107,170.843,283.41,241.597,160.797,97.404,112.635,126.797,146.438,139.846,137.301,110.252,157.924,157.522,144.602,178.483,166.947,224.204,119.089,125.785,95.777,265.745,223.042,135.923,280.616,294.225,358.67,243.768,300.161,270.948,260.157,374.338,379.493,429.061,92.853,163.114,365.815,456.039,265.49,372.906,615.912,493.963,324.611,208.575,388.154,204.032,123.277,114.387,170.296,188.524,203.688,157.54,260.086,208.716,243.233,171.653,122.773,284.67,90.628,178.877,258.452,125.835,236.393,193.344,268.344,371.384,230.982,180.684,225.602,332.454,149.569,195.874,222.671,461.407,262.466,213.421,266.674,252.671,250.705,241.311,244.296,211.615,195.533,166.195,198.638,266.109,341.834,303.877,370.227,451.616,333.661,459.606,348.354,547.952,538.246,557.342,325.986,458.109,465.983,522.7,379.183,586.678,464.36,721.329,475.269,539.09,431.56,713.075,410.646,604.028,598.71,495.882,504.276,643.993,632.566,653.03,433.344,715.688,544.532,526.756,794.107
581.964,169.086,157.852,150.382,117.277,97.13,153.55,100.47,87.56,82.846,41.548,87.566,191.434,112.25,86.782,89.027,61.322,89.34,29.926,45.841,36.333,160.977,91.249,120.641,132.502,125.151,171.365,56.41,95.958,53.842,129.731,172.981,188.271,134.388,15.971,77.015,556.703,263.018,107.868,333.532,646.736,449.883,170.329,95.379,547.283,189.827,108.518,10.425,28.192,185.136,168.735,44.087,132.375,26.605,31.168,22.337,33.074,100.49,5.24,17.711,40.915,17.324,22.494,11.356,116.5,84.945,39.556,13.837,37.32,242.435,25.568,11.932,27.053,124.759,52.163,40.649,50.077,16.336,17.777,47.976,181.744,79.951,27.767,57.21,50.922,80.936,125.0,100.668,257.402,220.83,349.415,219.9,203.649,343.725,273.637,509.206,244.21,250.029,270.504,252.991,261.926,392.458,314.169,416.056,375.16,461.663,310.6,486.003,330.479,634.056,659.598,372.539,317.377,576.77,1073.463,492.99,367.233,793.434,535.846,346.859,581.964
542.811,65.121,59.059,117.926,100.106,101.545,101.367,12.198,36.221,41.025,27.657,61.988,92.145,51.907,65.29,1.092,1.011,27.393,15.261,19.292,11.02,46.247,20.949,48.727,127.569,50.852,10.257,36.597,10.686,21.098,43.159,48.915,86.569,41.831,12.143,83.697,559.735,117.314,70.192,314.312,408.768,119.624,23.772,114.914,352.8,61.988,163.551,1.454,9.474,230.16,123.096,93.32,75.266,0.59,1.206,1.793,12.137,61.38,0.656,1.147,12.513,10.558,12.186,0.907,42.24,40.633,4.811,1.562,10.27,156.547,1.62,21.515,32.826,16.962,67.731,44.389,44.632,1.24,2.258,37.54,50.401,12.674,53.949,1.277,21.173,27.003,30.111,55.671,232.58,128.172,530.29,230.363,280.343,329.827,173.7,408.74,90.647,108.094,112.354,217.149,179.646,260.106,156.35,236.739,315.293,351.684,317.858,526.401,472.784,684.053,572.75,367.666,315.895,593.939,1059.172,523.748,403.09,828.259,510.564,251.396,542.811
662.054,2.738,10.968,29.956,27.701,18.382,6.858,51.627,3.221,9.163,15.724,29.87,22.813,30.347,28.412,20.756,4.817,88.142,16.377,6.169,32.581,22.697,0.046,25.28,127.749,36.822,50.451,151.314,66.151,75.703,79.395,152.091,225.634,83.479,116.665,122.179,351.253,147.957,172.819,288.681,251.346,110.259,33.446,186.604,269.976,61.386,147.082,55.163,57.196,176.408,78.14,112.954,100.06,24.076,52.308,54.126,45.027,96.017,29.875,55.733,111.465,93.182,100.798,32.922,78.156,127.502,101.631,58.519,84.868,144.897,109.612,152.466,173.766,121.432,114.785,74.818,144.083,59.72,116.357,103.261,45.958,91.706,141.989,52.07,59.876,48.733,61.128,94.811,205.587,169.069,538.813,376.311,364.756,360.191,169.605,349.836,111.667,178.002,169.158,186.41,125.822,203.138,203.193,337.805,245.592,319.216,380.796,611.658,458.659,545.185,507.771,343.598,382.214,456.984,983.793,519.074,624.891,738.455,682.64,382.83,662.054
