0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180
36.973,42.095,34.871,39.646,28.76,26.171,27.884,11.431,9.642,10.894,7.119,8.615,12.131,12.428,10.457,13.508,10.279,15.585,15.858,22.576,20.485,23.347,25.456,39.058,40.181,48.759,46.384,36.613,15.603,33.083,32.255,31.585,41.428,39.099,39.682,36.939,59.531,67.972,57.581,55.42,33.154,24.43,34.569,43.208,37.345,32.021,33.408,39.739,53.809,47.543,75.876,49.791,32.11,50.967,46.721,27.506,22.489,20.996,24.402,20.923,17.494,17.485,25.883,17.017,19.913,24.177,22.159,24.941,27.421,21.419,29.882,28.201,29.131,26.419,29.321,23.144,25.374,30.095,24.204,13.404,19.434,15.84,24.17,20.36,23.007,23.5,27.471,19.928,11.768,13.002,10.002,10.129,6.16,5.257,10.348,6.979,3.043,4.149,5.03,7.119,2.491,5.759,6.268,3.24,11.388,7.776,6.202,5.982,8.087,6.142,8.503,12.898,6.218,8.088,10.762,8.546,7.758,11.424,12.691,12.14,18.258,9.456,11.633,12.358,21.452,20.85,18.052,23.416,22.732,25.65,23.671,24.214,31.428,24.595,29.583,34.177,27.924,31.494,17.269,9.914,4.564,2.631,3.932,9.622,5.925,8.847,9.47,8.544,6.421,7.623,7.552,9.066,14.689,19.83,18.266,19.917,19.819,20.657,21.737,21.687,28.569,14.603,20.411,20.907,26.652,19.241,31.069,26.935,25.09,27.484,25.592,28.62,19.646,28.899,24.847,23.097,24.859,30.882,30.045,29.268,36.973
20.415,38.265,40.356,45.303,40.58,41.747,51.17,31.548,31.02,25.23,24.411,29.665,28.949,26.388,13.449,18.241,10.962,15.795,11.995,4.545,4.211,10.266,7.118,23.41,22.878,32.532,22.142,21.897,13.753,20.152,20.534,23.684,33.897,32.672,31.324,31.242,47.343,63.655,50.214,51.799,35.423,28.034,29.229,46.992,38.08,29.568,36.101,44.047,70.041,74.667,75.098,51.506,39.513,50.949,51.782,16.826,17.613,21.637,25.022,27.818,13.635,22.513,29.86,23.145,25.417,27.758,22.867,27.558,29.273,19.553,32.744,28.259,33.95,29.754,31.019,29.746,27.125,29.881,26.497,17.455,25.8,22.817,43.89,29.272,32.178,33.937,31.288,31.281,25.843,24.703,21.102,16.443,13.993,6.396,9.31,10.593,8.299,11.548,7.601,10.247,6.24,4.375,5.506,5.732,8.874,7.562,7.481,10.023,7.138,9.456,10.549,8.915,4.227,8.138,7.353,8.808,7.373,7.441,10.039,8.964,10.075,7.122,9.047,8.035,9.369,14.215,10.045,11.956,11.667,13.483,15.958,10.271,17.805,12.993,19.759,21.187,14.357,20.471,12.643,5.363,3.739,1.878,3.987,4.692,3.667,4.471,3.158,4.236,4.206,3.537,2.24,3.368,4.937,8.656,7.618,10.751,9.006,10.515,10.246,7.981,12.705,6.823,9.278,11.404,12.075,13.279,16.119,16.694,18.979,16.85,14.9,19.183,15.996,17.193,12.54,17.555,19.253,20.994,21.252,18.013,20.415
8.233,24.528,29.332,35.018,37.584,36.997,49.229,42.116,50.813,44.879,48.102,51.006,46.134,48.552,40.394,37.586,31.836,39.259,25.14,18.697,16.042,8.753,8.41,24.874,17.818,18.655,14.257,10.957,10.593,8.429,9.106,10.082,23.673,20.928,10.899,31.574,47.791,61.937,49.278,50.966,34.746,28.62,31.413,42.772,31.613,25.211,28.117,35.684,58.996,67.012,41.572,55.143,40.462,44.409,39.108,20.376,17.252,31.104,21.391,22.54,14.014,25.229,27.413,22.745,29.286,24.7,24.712,28.09,24.138,25.541,30.057,24.643,24.092,24.458,23.599,19.458,18.511,15.017,13.086,16.163,25.0,17.755,35.396,28.115,33.277,27.483,23.452,27.257,22.568,22.324,22.321,17.171,17.368,10.632,12.451,10.985,7.231,18.255,8.565,5.803,7.211,3.794,3.898,7.481,6.165,4.361,4.06,6.091,7.729,8.013,7.176,8.094,3.196,5.93,4.648,5.171,4.56,10.287,10.064,9.296,8.397,7.958,7.784,9.92,8.439,12.619,15.408,11.443,9.087,12.391,18.14,10.378,12.821,10.19,12.487,11.897,8.756,12.56,7.974,7.395,7.534,3.807,4.505,4.482,5.531,4.596,4.067,7.165,3.964,3.772,4.805,5.63,3.881,3.057,10.108,6.705,6.059,6.304,9.592,3.777,5.294,4.308,1.605,5.321,5.824,5.333,8.835,6.404,7.431,7.845,9.544,9.504,4.33,4.851,3.154,5.08,7.796,7.837,9.087,7.526,8.233
12.811,17.84,25.127,20.79,25.347,28.906,25.401,28.143,43.872,44.892,44.128,40.258,45.197,47.324,44.448,39.394,42.019,48.261,45.202,38.766,39.566,33.461,29.779,56.541,59.995,41.317,32.821,24.375,22.529,31.472,25.284,25.964,44.397,33.234,18.263,27.626,42.346,45.943,52.318,52.313,28.837,25.089,24.009,29.589,27.746,23.988,26.902,29.113,33.497,50.008,23.007,48.9,57.487,38.264,31.634,26.164,30.465,51.423,28.815,23.417,19.143,21.467,26.03,24.15,25.073,23.377,23.438,22.025,23.765,33.388,31.956,26.06,16.619,22.437,13.613,14.291,9.883,10.633,7.379,17.677,15.573,13.309,18.138,14.41,31.305,23.113,13.725,12.497,14.184,15.611,13.428,15.197,11.478,12.761,12.533,12.077,5.273,16.169,1.217,3.222,4.576,3.59,3.591,5.269,4.455,2.505,3.916,4.02,8.628,7.389,5.166,5.104,3.83,4.675,3.952,1.937,2.792,8.785,4.946,4.932,3.984,3.842,9.6,8.62,10.793,5.053,12.197,8.257,11.354,10.825,15.299,10.191,8.958,9.674,9.896,13.071,13.363,14.092,7.178,7.801,8.999,9.426,7.605,6.082,5.338,10.15,4.884,10.548,5.144,10.649,12.696,8.103,8.043,6.49,14.532,14.04,11.651,9.006,9.167,10.019,5.038,5.112,5.68,9.059,9.179,3.47,13.887,7.552,9.152,5.782,10.698,8.441,7.959,8.059,7.962,6.624,10.052,11.209,10.581,7.232,12.811
9.716,16.95,18.545,17.114,22.397,17.757,19.122,20.11,29.863,29.683,25.446,30.006,26.266,28.881,32.03,33.09,30.732,38.825,42.786,30.635,31.94,37.558,29.522,51.286,62.541,53.555,47.075,39.849,33.453,53.024,61.177,60.835,77.619,73.228,49.827,42.91,55.359,52.932,68.574,56.613,29.207,17.206,13.593,19.085,18.638,10.263,13.842,16.317,16.158,25.705,9.536,26.941,52.618,36.875,29.315,31.278,26.604,59.794,34.832,28.851,27.231,18.654,28.856,20.119,28.802,23.475,24.694,22.05,20.92,29.913,30.348,24.159,22.994,28.349,23.349,18.331,18.061,16.713,15.465,16.279,12.295,14.498,8.987,2.973,27.319,10.678,8.059,6.773,4.138,8.654,4.83,3.566,2.808,7.769,12.881,13.514,1.661,11.524,2.823,2.267,0.671,8.284,0.854,2.043,1.49,1.625,1.982,2.554,3.709,3.453,1.682,2.009,3.104,1.733,1.065,1.163,3.209,9.656,2.724,4.676,4.089,2.016,9.513,5.488,7.164,6.249,8.193,8.071,7.464,9.448,8.085,7.888,9.397,8.943,9.863,10.952,9.59,10.584,5.818,5.973,8.478,5.143,8.064,5.853,5.284,6.36,5.584,4.99,6.035,9.941,7.294,6.073,9.113,8.286,11.818,13.324,7.182,9.372,10.884,7.602,8.263,4.276,3.415,4.898,5.146,3.367,9.434,11.132,12.739,7.1,7.651,9.563,10.201,8.96,10.227,8.882,10.919,12.402,9.66,8.875,9.716
2.195,28.556,27.978,33.432,31.956,25.369,22.605,18.444,22.619,30.448,22.3,25.323,17.687,19.111,19.158,21.273,20.885,28.065,32.408,24.021,20.649,29.544,32.623,39.021,43.768,32.195,21.155,28.217,27.41,42.378,60.848,64.713,69.305,65.802,70.569,55.458,69.963,71.114,79.347,74.722,42.628,25.281,34.164,36.942,24.716,19.851,16.468,18.068,21.207,12.327,7.465,21.504,49.453,45.276,31.915,25.265,22.92,45.706,22.054,15.699,20.824,14.806,25.418,17.598,28.442,11.491,23.671,20.736,12.185,17.972,32.297,13.381,22.421,41.477,37.903,26.969,23.335,31.786,22.37,18.909,25.363,30.346,28.873,12.68,26.894,12.883,13.371,9.297,9.103,12.605,7.532,5.77,5.394,13.063,26.692,17.359,9.815,18.904,14.405,7.815,8.586,12.177,2.925,4.073,5.061,7.82,9.428,5.585,5.524,4.761,3.367,1.62,2.579,2.082,5.167,1.375,3.657,5.799,2.092,3.051,1.453,0.261,3.028,2.866,2.719,4.451,4.274,2.752,4.753,3.388,4.214,9.535,5.966,5.365,4.521,8.177,9.878,6.359,5.215,8.161,8.345,6.569,8.355,9.847,7.543,7.451,10.33,8.321,7.947,9.459,4.306,6.715,6.106,6.654,10.132,13.678,6.892,7.177,6.119,5.145,4.362,3.54,3.879,2.517,2.901,2.743,3.974,5.841,4.896,5.279,3.314,4.768,9.67,11.864,6.515,4.651,6.609,7.372,3.884,2.047,2.195
2.029,29.549,36.409,35.944,41.365,35.775,29.283,25.992,23.545,25.057,17.81,17.558,11.149,15.921,11.901,13.209,13.488,22.091,23.17,21.639,21.691,41.745,42.351,41.816,41.711,23.986,19.227,21.641,35.168,26.615,42.951,53.159,57.492,56.111,68.163,61.517,71.702,74.348,74.753,82.795,55.984,35.369,43.458,57.522,35.905,37.16,40.847,32.074,37.513,26.022,37.802,39.926,70.098,73.167,53.656,38.361,37.62,47.339,26.075,11.297,21.469,12.12,31.314,24.807,44.104,9.127,30.289,18.892,12.135,11.608,45.347,17.567,28.021,59.368,48.237,41.864,28.883,36.722,29.653,24.227,39.797,31.791,31.688,24.498,28.098,12.453,23.181,17.753,15.45,29.766,21.493,14.413,14.562,33.175,78.178,39.409,28.514,29.831,29.009,15.212,21.579,31.615,12.092,11.934,13.611,21.039,24.166,20.682,12.996,17.878,14.163,9.011,10.349,14.111,15.966,10.663,15.678,12.572,12.804,11.575,8.158,9.472,11.106,10.324,8.198,8.82,8.912,12.45,10.726,7.325,15.52,14.247,8.056,10.614,6.545,3.536,9.03,5.178,2.929,6.641,6.078,2.51,5.787,5.467,6.174,9.176,8.043,8.175,5.003,5.403,2.37,5.025,4.661,3.353,14.665,14.956,11.258,6.413,7.875,9.795,6.718,6.985,3.163,4.95,4.585,4.607,6.081,5.829,6.032,7.473,5.735,5.237,13.181,20.54,13.791,7.111,3.139,5.648,1.984,2.765,2.029
3.485,43.166,46.779,45.093,48.002,41.379,36.982,31.213,29.676,22.81,25.139,17.5,21.208,22.992,19.33,17.269,12.069,22.441,20.129,19.859,19.211,48.109,35.997,51.713,39.402,27.292,36.286,39.168,44.851,39.705,51.724,63.596,77.916,70.656,77.807,82.992,85.192,89.23,78.519,83.137,58.862,45.868,38.985,47.718,36.265,37.226,47.47,42.879,39.031,35.367,51.611,54.211,79.166,81.872,63.78,56.818,51.321,43.853,35.465,22.047,33.991,32.243,38.173,40.2,48.265,30.319,47.81,44.265,33.924,30.135,63.173,41.657,42.916,83.455,57.507,56.055,47.821,49.59,53.173,27.713,48.405,18.151,27.372,52.246,31.428,10.534,33.601,18.967,31.639,54.482,43.392,34.18,33.46,52.245,107.204,61.886,55.637,55.557,52.735,22.475,47.101,47.214,23.065,30.753,18.065,24.421,36.245,30.292,25.811,25.146,30.224,21.313,24.75,30.518,27.211,27.207,24.589,25.778,23.825,19.793,25.795,22.757,21.777,20.79,18.778,22.071,32.152,26.763,30.026,21.511,32.748,32.412,27.403,22.063,18.652,19.693,28.048,15.9,13.962,16.151,14.434,16.774,11.479,11.128,7.209,8.537,12.675,14.008,12.004,11.914,4.243,6.894,10.891,9.573,22.681,15.182,20.354,13.589,17.389,15.38,13.91,13.079,14.116,8.95,11.265,8.521,15.622,14.658,14.025,10.047,9.48,10.355,16.195,18.296,14.849,6.538,1.857,4.832,3.137,2.269,3.485
12.19,37.302,40.821,44.367,46.737,41.62,40.502,41.337,34.168,31.819,33.524,25.086,33.325,28.5,32.418,27.055,25.904,33.696,27.322,30.26,22.385,47.348,35.845,47.204,36.741,38.612,43.098,49.962,58.432,54.325,66.909,75.043,87.06,73.721,85.837,91.297,98.545,92.064,83.516,92.199,71.993,52.818,44.778,51.598,45.831,40.414,41.719,42.799,40.451,38.845,54.606,66.056,80.946,65.041,56.243,40.87,38.773,32.29,27.875,22.076,32.613,27.808,33.511,29.476,34.361,31.533,54.863,45.402,43.99,31.092,55.543,52.472,55.61,72.743,57.168,41.297,35.881,48.915,52.222,27.189,52.009,23.974,32.507,64.908,36.413,23.123,46.54,36.063,48.194,59.011,52.89,53.936,48.387,50.244,81.45,68.286,69.628,75.85,67.45,33.08,56.462,42.571,32.152,41.784,15.048,19.601,41.311,36.611,35.342,36.252,43.141,37.729,40.608,45.251,42.149,40.686,43.722,40.696,38.341,33.008,33.775,33.089,34.604,29.617,32.22,37.219,43.235,42.365,44.352,30.738,44.37,43.883,44.655,28.676,24.656,25.399,44.483,21.384,25.421,20.962,24.814,24.368,20.957,18.232,20.801,18.529,24.036,22.372,23.167,22.338,18.683,20.223,22.905,21.25,28.262,29.949,32.605,23.751,22.51,22.567,25.143,22.006,22.02,16.863,20.519,20.096,21.864,23.037,19.079,20.313,25.371,23.707,19.938,22.764,23.763,15.332,13.412,15.227,16.217,9.95,12.19
17.658,25.175,26.431,27.834,30.072,31.245,28.568,35.413,30.809,32.0,30.958,28.231,32.553,32.749,31.866,32.208,34.913,36.769,37.039,43.932,30.565,46.481,47.299,43.762,54.148,54.421,53.191,53.857,67.754,77.142,73.107,71.241,78.045,60.913,70.795,72.438,79.203,76.784,75.629,79.991,60.089,60.642,47.701,61.46,54.144,50.778,48.965,50.351,47.092,48.278,58.228,72.217,80.939,66.562,54.098,43.487,45.62,33.273,35.635,22.29,23.542,24.372,26.418,23.513,26.306,22.016,39.957,41.351,35.857,24.501,33.706,38.589,60.015,43.494,28.168,20.592,18.31,23.013,24.258,29.396,44.859,29.038,37.473,69.186,38.116,31.342,44.107,38.25,54.326,54.008,41.456,44.793,41.685,27.346,45.522,45.194,50.851,64.87,51.744,37.241,38.631,32.496,26.123,33.949,18.393,12.993,26.525,24.934,26.957,27.922,33.794,33.373,34.531,44.666,35.248,40.073,37.831,47.441,39.148,41.429,37.236,37.899,39.402,35.505,42.904,40.0,47.519,43.215,43.916,24.059,48.573,53.93,49.394,34.902,29.479,25.743,36.459,24.661,25.029,26.827,28.419,29.777,24.85,24.357,23.471,22.359,23.744,22.614,15.307,20.59,23.588,19.187,22.053,20.319,25.124,31.725,29.497,19.925,21.808,17.943,19.606,19.722,21.312,19.049,16.777,18.357,19.656,18.453,23.468,22.537,17.738,20.878,19.024,22.034,21.724,15.426,22.675,20.536,17.318,15.456,17.658
