0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
52.311,84.676,78.348,60.072,77.837,686.68,320.024,821.623,393.078,552.992,607.659,347.732,238.406,148.277,225.759,143.784,133.553,116.676,143.562,46.471,112.787,247.702,196.528,222.878,268.205,401.662,424.134,240.214,269.341,153.086,313.278,265.07,228.81,328.608,446.387,99.401,200.398,208.051,274.169,281.634,157.026,225.59,192.301,524.326,294.436,160.896,155.891,198.918,395.963,402.221,388.915,303.146,323.191,159.76,323.271,384.159,450.559,432.263,413.426,411.967,262.865,405.329,255.337,279.035,214.268,173.765,135.853,135.416,324.059,269.019,173.57,294.69,195.704,156.25,158.826,185.073,148.039,82.356,128.883,156.606,174.11,276.673,88.903,187.819,155.692,126.299,107.005,51.668,162.185,76.89,99.597,77.422,144.264,78.542,135.709,94.532,92.183,121.287,187.837,172.625,184.04,313.777,268.012,280.84,323.744,289.53,178.045,240.837,257.862,191.134,44.566,28.379,91.469,152.628,103.488,92.791,75.835,59.965,41.369,55.488,52.311
133.543,164.831,150.11,67.009,135.51,1100.543,519.741,848.769,622.504,737.139,718.288,420.565,205.961,178.16,240.325,160.014,166.247,109.636,159.453,129.669,185.571,261.003,200.521,155.455,343.38,387.294,383.974,279.532,272.908,235.934,218.739,161.742,165.279,254.129,426.445,181.334,236.631,229.828,229.467,332.316,201.833,329.963,162.658,510.397,337.326,221.867,145.468,222.608,409.684,533.014,438.281,316.308,331.679,224.01,353.78,523.844,468.515,465.382,416.851,480.17,203.357,504.66,215.197,297.009,264.39,245.737,266.872,267.83,317.528,310.179,135.479,403.24,233.397,178.012,198.843,152.382,229.875,131.838,228.034,263.981,310.541,293.358,196.652,320.586,213.804,170.264,154.735,203.646,169.32,116.507,142.331,138.239,180.447,144.06,261.644,238.417,210.129,179.45,207.088,191.884,295.054,328.925,330.044,349.135,259.189,235.252,309.791,258.613,246.324,207.152,101.908,114.067,299.183,209.535,214.351,170.613,145.287,190.039,117.995,130.192,133.543
175.276,219.584,135.219,142.226,217.56,1552.926,694.4,1000.116,755.819,839.074,796.979,427.74,323.765,303.268,246.228,247.849,257.712,150.711,219.999,136.354,264.225,400.963,330.103,275.001,424.0,525.993,489.035,387.292,380.675,416.672,284.473,307.655,293.559,360.232,554.296,362.851,367.366,333.687,343.149,556.007,333.088,504.748,249.351,563.246,546.342,300.725,248.145,334.211,494.694,647.46,597.212,532.897,559.98,466.236,447.799,791.694,705.575,532.064,616.624,587.16,372.395,628.339,375.688,541.821,367.874,296.461,461.326,447.031,533.827,495.74,251.938,574.157,395.527,314.049,327.547,365.527,249.561,328.466,412.679,336.156,409.63,395.439,362.342,425.82,465.908,273.398,359.93,486.467,270.223,273.024,388.384,303.826,309.926,285.047,345.73,450.584,353.12,330.037,475.18,341.227,428.893,513.858,441.826,445.567,347.878,339.482,310.14,379.273,364.107,310.85,196.773,269.518,311.05,325.761,352.687,279.024,267.477,271.369,178.918,204.577,175.276
187.272,316.763,200.94,229.566,299.012,1572.714,668.887,844.195,868.738,751.084,887.527,481.682,447.137,389.699,380.787,299.916,316.775,250.34,309.317,244.686,404.351,381.007,491.671,331.168,459.053,631.396,574.649,479.762,450.704,495.663,451.95,479.358,427.57,499.384,571.667,437.062,451.013,522.518,417.377,494.923,422.612,509.777,360.72,626.353,545.265,474.013,300.123,374.977,482.973,738.147,695.214,715.084,611.732,522.047,607.891,891.519,754.165,643.542,705.121,654.589,542.388,617.375,510.857,517.578,393.303,354.46,498.755,553.976,504.315,512.398,303.667,549.029,531.585,370.921,427.794,424.572,320.245,368.524,441.947,364.809,445.644,435.992,431.975,484.215,532.908,401.146,368.887,404.039,376.851,344.117,364.741,289.639,376.705,323.105,402.053,431.12,345.163,351.001,481.196,416.521,413.883,547.394,476.234,437.096,422.851,404.28,403.798,388.62,454.132,377.786,230.393,326.62,224.65,291.398,294.406,304.185,233.514,253.627,251.794,247.654,187.272
174.656,295.035,165.227,158.974,299.053,1199.863,483.823,683.157,742.536,550.31,685.89,418.35,371.815,338.183,378.367,249.033,238.914,244.991,257.151,240.905,308.508,395.988,403.164,310.081,400.805,550.629,499.588,418.116,394.045,330.79,361.02,303.134,359.956,374.608,524.94,375.639,444.026,420.762,442.615,454.049,367.207,466.158,299.325,498.719,487.124,479.256,306.691,339.02,433.496,462.445,556.726,657.786,491.077,521.52,507.691,791.147,642.924,638.315,686.374,544.813,572.321,492.747,415.705,366.359,365.059,378.803,461.734,418.624,394.15,443.954,301.277,356.118,452.143,295.245,373.414,331.261,431.443,338.155,307.547,292.651,361.755,315.551,323.015,321.342,316.624,299.679,242.902,288.821,302.532,250.318,291.877,191.636,230.661,319.45,289.747,320.772,249.233,252.368,392.6,278.071,329.093,383.545,369.83,363.744,321.973,328.505,232.386,299.899,293.52,275.951,201.74,285.356,153.231,245.242,212.6,258.637,219.52,204.691,124.032,167.628,174.656
120.915,230.221,134.094,113.239,244.798,921.764,409.81,557.276,564.904,442.128,448.645,312.884,263.496,227.521,230.364,222.973,169.19,163.955,203.484,202.5,261.858,275.297,310.956,204.202,247.435,521.29,318.274,353.257,346.707,253.183,299.909,313.612,237.689,242.233,320.783,311.795,284.537,347.304,414.366,310.412,318.563,439.322,196.953,429.001,316.976,386.087,159.269,194.807,314.502,266.751,425.261,428.101,408.844,334.77,325.885,616.099,480.028,495.416,501.571,505.527,364.102,395.416,298.18,262.913,307.272,236.056,273.507,250.394,213.275,207.064,192.47,111.883,274.895,176.942,226.102,185.272,219.233,234.941,185.738,131.513,219.511,210.687,170.313,170.113,185.083,182.847,236.974,148.677,168.915,176.065,171.57,156.952,117.574,192.222,143.578,201.279,198.078,276.242,230.965,234.05,228.696,240.069,344.614,292.208,236.037,225.09,157.043,245.126,222.963,251.225,167.307,226.48,159.81,139.48,246.158,148.736,198.653,140.104,151.291,138.35,120.915
131.113,139.853,31.974,73.732,241.747,690.234,440.039,364.198,461.66,406.244,270.278,249.226,337.122,188.623,129.175,165.121,142.083,152.883,81.346,133.151,215.125,252.313,270.934,194.944,176.781,336.948,300.381,244.117,225.488,199.63,309.681,248.915,172.496,145.562,181.551,167.809,184.669,149.331,327.842,246.237,268.687,402.867,179.916,372.862,191.246,219.889,95.437,120.759,168.354,201.315,308.207,350.697,316.533,342.668,307.218,434.398,474.387,378.978,402.215,372.353,259.878,238.057,184.431,118.941,210.334,113.059,204.674,192.105,158.16,185.453,91.654,112.025,94.072,120.952,218.01,124.37,131.301,92.802,145.075,130.346,104.076,107.335,104.919,202.442,188.611,120.965,80.087,60.172,88.631,67.14,63.147,146.417,94.248,140.274,145.563,85.35,172.987,187.045,168.294,205.389,135.58,227.035,248.366,171.43,156.814,171.577,171.837,201.962,193.439,209.762,169.405,136.357,143.736,136.419,179.836,108.593,158.157,173.751,124.462,79.296,131.113
147.082,95.294,77.847,83.555,214.752,582.486,334.705,367.7,358.141,292.156,303.444,219.512,265.62,112.193,86.444,127.333,174.572,73.302,85.534,87.747,188.634,226.867,200.228,176.404,113.253,289.525,270.132,181.328,233.768,244.865,288.931,340.918,148.23,87.72,200.949,145.769,120.558,188.654,198.12,284.612,310.808,335.249,141.275,320.69,218.468,158.551,120.031,112.053,203.727,180.253,262.276,291.774,299.91,379.081,347.632,442.745,391.795,285.472,310.874,301.244,233.314,192.011,188.363,129.11,129.098,169.598,213.994,267.84,139.866,197.739,94.848,107.314,88.935,89.52,259.929,96.197,159.69,122.282,95.642,145.645,79.443,139.471,115.822,167.14,174.652,124.848,99.515,77.903,58.776,89.806,127.723,113.621,135.171,162.098,98.009,217.719,114.981,263.734,141.103,194.956,146.505,166.271,159.317,175.945,119.219,139.815,168.299,141.589,147.536,132.343,124.79,114.627,100.768,100.273,170.031,67.03,105.701,80.156,160.57,51.517,147.082
127.777,106.472,67.526,136.688,199.179,546.207,385.263,406.021,373.105,381.449,320.101,289.73,253.33,113.809,114.317,85.464,175.395,102.676,86.261,74.82,167.754,187.044,305.912,128.447,216.265,280.992,241.723,228.741,348.85,269.484,377.631,425.973,241.116,227.424,152.549,202.498,244.053,296.231,275.89,354.288,379.104,344.208,253.651,289.414,303.128,206.012,169.415,134.183,182.234,300.689,321.304,336.0,376.963,294.543,381.687,309.548,305.421,241.225,303.959,230.633,337.64,241.618,269.763,131.21,197.508,106.351,169.343,237.986,193.466,173.342,246.535,92.934,158.954,163.061,252.54,136.404,182.764,168.947,222.955,198.421,194.838,256.666,303.478,224.428,171.729,147.321,223.772,157.039,176.436,120.799,227.635,155.763,148.497,153.984,148.194,177.565,159.085,214.136,242.954,240.984,210.342,274.8,254.372,169.48,215.725,219.114,121.511,84.802,177.428,171.791,182.064,126.774,94.383,132.843,186.266,122.95,148.745,150.809,187.473,128.488,127.777
239.016,124.558,82.616,176.881,351.733,549.747,494.974,452.047,445.687,531.096,466.041,348.643,230.735,131.638,179.61,151.737,151.37,183.136,78.617,128.287,174.12,211.948,374.999,144.661,274.314,309.078,230.99,285.806,426.389,390.03,270.723,446.312,293.145,298.631,334.251,434.469,393.656,380.292,377.031,471.138,400.917,422.344,379.063,370.987,356.21,282.18,184.822,292.228,258.634,318.493,418.602,529.114,391.767,313.016,320.169,363.124,413.287,308.356,384.855,264.331,332.297,323.813,366.179,240.806,169.341,201.151,236.423,353.594,259.776,217.986,248.461,197.712,229.405,217.633,457.241,182.561,219.744,203.75,234.97,281.364,316.072,254.813,349.733,274.676,272.904,281.958,267.485,223.977,183.102,258.492,193.421,211.091,207.611,199.093,374.111,288.893,239.408,234.915,313.332,312.381,254.467,284.917,262.836,257.09,274.055,250.609,206.828,168.566,258.673,157.08,206.15,151.593,198.047,162.451,227.082,202.391,249.911,237.4,244.023,193.494,239.016
