 ,Value
1,258.534
2,257.029
3,256.576
4,255.490
5,257.433
6,253.945
7,260.511
8,263.270
9,265.631
10,267.431
11,267.378
12,275.462
13,275.557
14,275.421
15,279.407
16,280.681
17,292.290
18,321.240
19,387.207
20,495.655
21,576.848
22,732.581
23,958.917
24,948.060
25,862.524
26,860.433
27,747.409
28,543.244
29,400.130
30,336.996
31,314.679
32,308.869
33,306.608
34,299.585
35,292.666
36,291.200
37,295.892
38,292.462
39,292.160
40,289.598
41,289.066
42,282.740
43,277.655
44,275.463
45,272.225
46,268.905
47,266.772
