 ,Value
1,272.325
2,282.765
3,288.183
4,287.018
5,282.375
6,276.546
7,272.522
8,269.208
9,264.530
10,267.849
11,276.477
12,278.698
13,276.978
14,275.664
15,273.855
16,276.087
17,280.206
18,284.196
19,286.933
20,290.602
21,301.390
22,328.126
23,448.722
24,718.337
25,887.929
26,662.068
27,436.582
28,348.794
29,314.508
30,292.211
31,283.218
32,276.233
33,276.384
34,274.317
35,268.273
36,266.977
37,265.169
38,261.031
39,260.725
40,255.603
41,255.482
42,253.935
43,252.132
44,252.478
45,245.018
46,247.582
47,247.659
48,247.856
49,248.671
50,247.293
51,243.806
