 ,Value
1,874.337
2,806.880
3,967.958
4,1356.446
5,1721.882
6,1570.881
7,1436.514
8,1365.283
9,1136.010
10,1149.211
11,1031.617
12,919.091
13,1068.489
14,1360.008
15,1816.936
16,1636.352
17,1024.257
18,1113.686
19,1091.270
20,849.915
21,654.791
22,616.581
23,913.994
24,954.644
25,989.548
26,605.782
27,81.539
28,133.625
29,186.716
30,137.116
31,49.898
32,314.380
33,664.207
34,472.434
35,357.571
36,852.629
37,1432.550
38,1972.434
39,1546.520
40,1157.365
41,1072.398
42,1352.572
43,880.742
44,511.682
45,286.732
46,264.380
47,86.916
48,68.693
49,127.577
50,423.139
51,894.157
52,1124.280
53,1113.944
54,1395.117
