 ,Value
1,219.779
2,140.388
3,248.528
4,318.952
5,439.384
6,537.216
7,716.659
8,680.107
9,387.230
10,216.898
11,156.743
12,178.782
13,241.059
14,248.785
15,213.222
16,308.679
17,320.169
18,210.645
19,264.102
20,342.853
21,342.523
22,299.236
23,172.610
24,93.909
25,166.735
26,215.250
27,384.549
28,330.549
29,200.512
30,333.980
31,296.767
32,323.374
33,247.365
34,196.032
35,224.939
36,212.955
37,345.544
38,380.219
39,428.286
40,487.464
41,424.339
42,632.910
43,837.517
44,780.652
45,796.156
46,660.332
47,491.452
48,355.941
49,287.700
