 ,Value
1,728.103
2,605.029
3,491.658
4,527.759
5,640.217
6,799.755
7,773.782
8,498.245
9,265.614
10,269.150
11,279.158
12,391.878
13,541.459
14,703.515
15,1116.783
16,1605.380
17,1445.265
18,1445.607
19,1341.148
20,952.511
21,743.000
22,696.079
23,440.228
24,326.462
25,517.081
26,478.205
27,408.759
28,360.812
29,505.017
30,826.312
31,861.627
32,523.779
33,407.659
34,390.125
35,572.381
36,620.567
37,250.332
38,54.919
39,130.639
40,295.951
41,258.148
42,370.686
43,893.470
44,1435.961
45,1261.767
46,988.003
47,672.805
48,536.652
49,412.521
50,366.525
51,581.837
52,839.416
