 ,Value
1,488.254
2,573.782
3,496.957
4,358.028
5,289.196
6,144.291
7,122.670
8,63.110
9,89.374
10,211.865
11,322.366
12,431.178
13,417.290
14,410.245
15,319.698
16,325.090
17,571.001
18,504.036
19,373.498
20,166.395
21,110.157
22,177.912
23,219.924
24,376.097
25,425.021
26,281.410
27,254.438
28,225.523
29,267.467
30,330.035
31,412.921
32,379.347
33,327.148
34,206.537
35,217.377
36,318.364
37,358.837
38,245.858
39,341.987
40,301.342
41,171.203
42,221.185
43,211.648
44,243.993
45,276.155
46,309.106
47,191.566
48,269.459
49,178.721
50,146.059
51,86.028
52,118.684
53,163.308
54,110.183
