 ,Value
1,375.354
2,253.561
3,332.417
4,572.331
5,703.080
6,442.175
7,217.722
8,114.121
9,12.718
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,1.605
16,56.427
17,282.825
18,384.354
19,404.768
20,207.401
21,238.627
22,251.576
23,155.024
24,220.528
25,379.365
26,328.236
27,391.872
28,192.851
29,98.165
30,123.402
31,38.355
32,39.332
33,28.730
34,70.320
35,281.774
36,551.015
37,598.165
38,420.683
39,38.664
40,6.390
41,77.205
42,114.541
43,110.527
44,165.660
45,209.906
46,341.388
47,328.803
48,96.108
49,4.940
50,52.070
51,7.048
52,0.000
53,0.000
54,22.491
55,173.189
56,179.647
