 ,Value
1,303.180
2,304.116
3,306.908
4,308.277
5,301.541
6,306.457
7,304.964
8,303.298
9,306.661
10,313.016
11,314.280
12,321.355
13,323.594
14,323.263
15,322.060
16,328.216
17,326.363
18,329.068
19,339.379
20,351.441
21,365.635
22,391.007
23,467.520
24,575.519
25,690.729
26,791.366
27,835.892
28,874.635
29,893.566
30,900.179
31,849.318
32,695.139
33,556.793
34,465.219
35,400.776
36,368.708
37,341.833
38,316.933
39,305.158
40,296.919
41,288.011
42,281.009
43,275.882
44,273.771
45,269.719
46,263.754
47,262.721
48,258.755
49,260.507
50,261.850
51,260.643
52,261.192
53,266.683
54,269.786
55,267.069
56,261.942
57,264.103
