 ,Value
1,244.324
2,151.733
3,138.516
4,124.605
5,145.834
6,135.478
7,50.796
8,147.606
9,188.808
10,340.780
11,392.249
12,530.523
13,438.343
14,417.116
15,425.788
16,482.910
17,524.654
18,312.100
19,281.050
20,284.288
21,183.923
22,111.778
23,225.708
24,210.513
25,206.585
26,195.469
27,128.557
28,67.570
29,70.928
30,197.264
31,338.644
32,393.615
33,261.557
34,169.779
35,188.240
36,230.986
37,197.461
38,173.714
39,212.262
40,315.526
41,195.725
42,250.483
43,200.390
44,135.506
45,110.054
46,217.915
