 ,Value
1,1613.782
2,1236.418
3,1037.337
4,927.197
5,836.791
6,719.920
7,1143.117
8,1215.501
9,1021.383
10,1216.528
11,1809.082
12,2618.975
13,3237.145
14,3253.097
15,2326.760
16,1463.602
17,1082.542
18,1084.417
19,1092.618
20,1206.019
21,1000.858
22,642.664
23,473.801
24,292.426
25,89.571
26,13.657
27,21.215
28,151.255
29,374.087
30,629.976
31,595.738
32,559.783
33,380.430
34,450.414
35,715.697
36,1178.311
37,1083.081
38,758.400
39,476.160
40,99.837
41,63.296
42,86.452
43,96.583
44,271.206
45,506.637
46,674.285
