 ,Value
1,268.965
2,271.134
3,273.166
4,276.533
5,278.782
6,277.412
7,279.373
8,286.753
9,288.846
10,296.506
11,303.154
12,311.883
13,333.871
14,373.794
15,407.089
16,443.305
17,503.377
18,635.714
19,842.838
20,1089.218
21,1305.004
22,1405.730
23,1416.215
24,1303.243
25,1159.262
26,1071.338
27,973.219
28,797.584
29,650.083
30,540.788
31,465.442
32,428.178
33,414.195
34,376.045
35,339.660
36,322.372
37,315.192
38,311.168
39,308.679
40,316.692
41,328.654
42,337.153
43,323.779
44,308.474
45,309.111
46,328.801
47,362.109
