 ,Value
1,73.255
2,158.501
3,161.242
4,64.746
5,67.193
6,97.389
7,100.147
8,132.023
9,175.586
10,256.156
11,274.194
12,311.430
13,356.915
14,487.464
15,494.327
16,454.594
17,387.651
18,364.289
19,207.926
20,193.971
21,265.665
22,266.730
23,235.608
24,251.658
25,266.994
26,300.508
27,474.175
28,607.125
29,640.308
30,548.297
31,455.874
32,432.512
33,468.368
34,461.482
35,337.290
36,330.161
37,349.424
38,302.721
39,341.138
40,360.307
41,334.785
42,300.019
43,363.813
44,448.435
45,426.515
46,324.145
47,343.238
