 ,Value
1,268.303
2,269.895
3,274.626
4,274.107
5,273.699
6,268.947
7,273.508
8,273.504
9,271.215
10,273.576
11,271.329
12,272.970
13,281.876
14,285.349
15,282.425
16,286.521
17,287.858
18,291.462
19,292.043
20,293.987
21,297.563
22,308.235
23,319.298
24,334.798
25,368.104
26,414.527
27,506.324
28,665.969
29,890.921
30,1117.448
31,1222.419
32,1151.345
33,958.229
34,817.998
35,807.377
36,831.266
37,793.549
38,645.825
39,488.988
40,389.301
41,343.109
42,328.193
43,314.877
44,315.978
45,313.158
46,308.861
47,299.648
48,295.351
49,296.680
50,294.985
51,290.422
52,290.152
53,290.195
54,290.543
55,289.054
56,288.580
57,287.144
58,285.971
59,287.137
60,289.781
61,285.744
62,283.383
63,277.168
64,275.704
65,276.694
