 ,Value
1,125.709
2,148.285
3,164.345
4,442.425
5,916.038
6,579.768
7,181.414
8,73.176
9,23.821
10,66.599
11,298.362
12,502.904
13,441.784
14,231.099
15,82.832
16,117.219
17,258.174
18,416.584
19,399.141
20,314.259
21,454.058
22,625.714
23,419.554
24,304.848
25,343.772
26,353.438
27,552.501
28,909.687
29,1113.545
30,849.387
31,801.414
32,1097.118
33,1137.238
34,1295.323
35,1397.460
36,1244.320
37,1453.745
38,1576.893
39,1452.088
40,1461.965
41,1373.534
42,1049.851
43,625.333
44,788.873
45,994.901
46,1050.705
47,918.964
48,869.588
49,432.633
50,188.941
51,327.569
52,737.416
53,769.137
