 ,Value
1,970.319
2,1276.714
3,1042.409
4,902.378
5,474.996
6,473.537
7,566.829
8,426.183
9,559.449
10,1068.147
11,1162.920
12,884.669
13,994.857
14,703.456
15,472.242
16,609.622
17,579.455
18,515.432
19,807.174
20,959.170
21,644.421
22,304.337
23,275.892
24,494.292
25,585.648
26,459.653
27,435.382
28,595.588
29,327.109
30,237.643
31,379.137
32,311.986
33,169.815
34,154.602
35,386.461
36,519.916
37,336.387
38,482.286
39,470.854
40,559.967
41,176.427
42,58.417
43,11.970
44,43.458
45,9.150
46,22.474
47,0.020
48,0.000
49,0.000
50,1.524
51,62.982
52,58.775
53,264.144
54,730.440
55,684.661
56,473.260
57,190.551
