 ,Value
1,247.210
2,248.638
3,249.163
4,253.169
5,255.589
6,256.596
7,254.555
8,256.687
9,260.338
10,258.141
11,257.017
12,258.884
13,262.174
14,264.749
15,265.924
16,271.653
17,277.110
18,283.648
19,296.195
20,322.227
21,362.878
22,472.557
23,696.365
24,855.552
25,666.249
26,433.936
27,335.024
28,305.472
29,300.193
30,307.249
31,327.359
32,345.077
33,348.929
34,342.617
35,325.596
36,319.825
37,311.563
38,303.072
39,289.890
40,282.804
41,276.771
42,275.093
43,270.040
44,266.085
45,260.683
46,259.161
47,256.341
