 ,Value
1,299.704
2,159.297
3,201.759
4,205.261
5,268.972
6,279.554
7,289.062
8,372.590
9,356.141
10,243.237
11,315.502
12,469.556
13,410.911
14,281.113
15,272.069
16,254.775
17,372.878
18,401.923
19,501.760
20,583.252
21,481.645
22,362.520
23,399.313
24,374.516
25,444.096
26,359.948
27,295.017
28,242.197
29,171.219
30,38.300
31,32.102
32,146.006
33,310.914
34,307.783
35,272.237
36,272.143
37,309.690
38,290.678
39,346.960
40,410.864
41,491.128
42,492.877
43,516.922
44,488.041
45,466.801
46,481.337
47,439.905
