 ,Value
1,1378.700
2,910.201
3,705.403
4,579.195
5,610.826
6,554.529
7,329.014
8,330.117
9,562.357
10,922.122
11,1266.798
12,1270.080
13,1300.272
14,1371.876
15,1705.398
16,1588.648
17,1219.549
18,1280.193
19,1558.509
20,1803.204
21,2006.037
22,1924.124
23,1754.998
24,1785.802
25,1283.592
26,808.567
27,558.093
28,490.797
29,479.304
30,768.788
31,962.192
32,1694.709
33,1637.235
34,1191.698
35,1070.519
36,1360.790
37,1258.078
38,1151.935
39,883.581
40,723.940
41,821.080
42,886.264
43,750.216
44,364.701
45,202.510
46,560.647
47,844.554
