 ,Value
1,669.577
2,578.182
3,562.589
4,628.985
5,564.748
6,560.742
7,517.375
8,455.223
9,342.436
10,372.520
11,383.897
12,208.563
13,304.913
14,340.711
15,388.649
16,337.898
17,287.367
18,160.196
19,131.623
20,121.855
21,133.017
22,264.033
23,318.828
24,375.038
25,483.618
26,314.172
27,228.641
28,336.770
29,416.962
30,440.488
31,377.519
32,203.579
33,156.465
34,238.287
35,370.456
36,431.166
37,329.740
38,319.001
39,263.687
40,336.820
41,380.983
42,418.534
43,372.129
44,359.972
45,344.559
46,282.688
47,247.988
48,138.803
49,109.891
50,172.476
51,192.020
