 ,Value
1,261.619
2,261.737
3,259.713
4,265.561
5,269.361
6,268.777
7,266.308
8,263.856
9,260.603
10,261.070
11,263.220
12,262.194
13,265.817
14,268.238
15,275.057
16,277.698
17,284.470
18,296.825
19,304.114
20,323.111
21,354.489
22,402.280
23,447.868
24,504.900
25,574.776
26,667.949
27,736.675
28,769.622
29,736.399
30,711.592
31,695.936
32,685.245
33,626.052
34,560.762
35,511.953
36,446.321
37,389.339
38,340.276
39,313.865
40,292.814
41,280.931
42,271.019
43,272.962
44,266.170
45,262.215
46,257.298
47,254.767
48,252.671
49,250.068
50,250.875
51,249.130
52,250.825
53,250.260
54,246.919
55,248.351
56,248.664
