 ,Value
1,625.498
2,460.044
3,388.559
4,273.082
5,192.313
6,155.903
7,172.362
8,625.038
9,1024.787
10,702.408
11,259.408
12,271.203
13,439.798
14,416.938
15,304.472
16,120.373
17,11.932
18,0.443
19,46.188
20,71.449
21,166.780
22,341.154
23,290.607
24,274.972
25,363.983
26,424.391
27,432.793
28,381.142
29,616.963
30,433.809
31,134.608
32,77.619
33,229.002
34,141.231
35,75.826
36,126.446
37,322.488
38,400.582
39,522.039
40,627.743
41,965.297
42,962.833
43,699.197
44,417.432
45,510.828
46,863.125
47,945.893
48,1052.295
49,1178.057
50,1280.941
51,1109.587
52,611.072
53,196.597
54,149.047
55,84.733
56,11.163
57,51.486
58,28.609
59,0.113
60,87.807
61,39.198
62,13.898
63,135.918
