 ,Value
1,251.707
2,250.438
3,251.952
4,253.831
5,258.033
6,259.186
7,258.345
8,257.641
9,258.916
10,259.210
11,259.368
12,268.808
13,273.039
14,270.603
15,272.444
16,275.724
17,280.098
18,293.523
19,308.566
20,334.705
21,387.982
22,534.485
23,860.787
24,1493.793
25,2215.164
26,2389.767
27,1953.353
28,1292.622
29,862.663
30,643.911
31,532.978
32,484.359
33,455.866
34,415.335
35,377.740
36,363.302
37,364.619
38,364.180
39,365.422
40,358.289
41,343.350
42,331.343
43,327.461
44,321.904
45,331.044
46,333.850
47,331.996
48,317.140
49,306.134
50,299.659
51,298.854
52,292.370
53,292.608
