 ,Value
1,266.070
2,265.895
3,267.230
4,265.504
5,264.212
6,262.307
7,260.500
8,260.955
9,262.223
10,267.988
11,274.974
12,276.064
13,273.774
14,275.474
15,278.497
16,283.061
17,282.488
18,289.834
19,290.015
20,299.074
21,312.858
22,337.790
23,381.553
24,494.262
25,777.663
26,1331.231
27,2068.744
28,2453.201
29,2094.147
30,1408.665
31,926.693
32,667.786
33,522.704
34,431.183
35,377.239
36,346.974
37,325.451
38,313.334
39,306.174
40,303.617
41,297.732
42,292.023
43,292.848
44,290.332
45,286.532
46,278.109
47,272.581
48,273.831
49,276.451
50,275.293
51,275.029
52,275.132
