 ,Value
1,106.816
2,136.665
3,221.935
4,121.535
5,74.237
6,83.325
7,255.513
8,532.597
9,347.205
10,203.217
11,116.676
12,188.140
13,445.204
14,499.364
15,260.862
16,264.035
17,369.257
18,326.855
19,183.066
20,176.924
21,341.268
22,549.320
23,710.575
24,664.888
25,579.257
26,263.584
27,125.414
28,269.771
29,479.921
30,564.923
31,450.322
32,409.847
33,274.492
34,137.215
35,264.048
36,543.795
37,511.181
38,626.284
39,662.241
40,725.346
41,565.193
42,612.663
43,675.798
44,785.060
45,919.942
46,639.721
47,255.836
48,174.010
49,316.849
50,441.639
51,323.936
52,421.838
53,286.031
54,384.465
55,505.196
56,449.796
57,474.871
58,541.251
59,620.677
60,925.424
61,904.793
62,391.107
63,138.450
64,196.847
65,105.243
