 ,Value
1,922.989
2,1060.842
3,1287.900
4,1304.121
5,1038.140
6,1045.653
7,1382.883
8,1313.280
9,1334.312
10,892.350
11,713.650
12,919.781
13,1469.992
14,1217.235
15,739.642
16,711.676
17,593.292
18,741.709
19,940.515
20,1194.833
21,942.343
22,1046.949
23,1031.552
24,895.919
25,909.228
26,1239.286
27,1719.324
28,1716.624
29,1349.188
30,1187.965
31,1290.419
32,1256.432
33,897.114
34,1106.080
35,1089.389
36,837.935
37,748.201
38,590.858
39,399.774
40,504.048
41,661.206
42,1002.000
43,1219.524
44,1074.394
45,729.495
46,361.724
47,365.267
48,473.567
49,525.114
50,426.263
