 ,Value
1,266.222
2,259.550
3,235.141
4,228.931
5,260.193
6,314.570
7,313.174
8,263.984
9,179.340
10,127.043
11,109.916
12,187.780
13,182.656
14,350.004
15,407.002
16,395.881
17,299.121
18,234.082
19,171.464
20,224.791
21,230.245
22,248.393
23,297.264
24,251.251
25,247.321
26,211.006
27,101.828
28,80.440
29,142.180
30,279.345
31,296.637
32,318.731
33,480.527
34,522.186
35,348.651
36,289.235
37,319.827
38,344.764
39,320.704
40,312.624
41,383.738
42,425.387
43,497.280
44,514.350
45,410.139
46,452.431
47,438.098
