 ,Value
1,722.825
2,570.634
3,771.739
4,978.010
5,832.193
6,690.019
7,202.476
8,283.342
9,495.262
10,657.854
11,598.173
12,512.508
13,586.729
14,1088.563
15,1417.265
16,1307.970
17,1326.346
18,868.513
19,646.790
20,891.927
21,1019.579
22,1150.011
23,1342.209
24,1147.534
25,1125.146
26,1088.256
27,1656.301
28,2125.998
29,2032.725
30,1248.282
31,590.739
32,625.042
33,512.477
34,107.546
35,225.875
36,311.054
37,371.132
38,801.739
39,1356.755
40,1419.456
41,1147.926
42,1060.531
43,1180.972
44,1150.187
45,976.206
46,1247.977
