 ,Value
1,575.506
2,521.890
3,508.316
4,488.062
5,419.767
6,313.524
7,228.853
8,206.792
9,241.840
10,148.462
11,209.074
12,274.904
13,304.939
14,92.659
15,45.176
16,63.287
17,97.547
18,22.833
19,17.852
20,82.936
21,177.499
22,75.474
23,118.065
24,322.869
25,323.057
26,179.617
27,207.725
28,288.470
29,367.477
30,206.888
31,307.655
32,936.359
33,1366.440
34,1257.166
35,1000.970
36,854.735
37,607.364
38,468.366
39,383.990
40,280.843
41,156.166
42,94.700
43,147.892
44,300.269
45,403.130
46,306.830
47,372.872
48,596.310
49,774.255
