 ,Value
1,265.183
2,264.861
3,263.476
4,264.726
5,263.749
6,263.044
7,264.591
8,264.752
9,266.752
10,272.236
11,277.976
12,281.363
13,282.220
14,289.742
15,299.508
16,314.418
17,347.983
18,426.661
19,535.889
20,654.123
21,758.418
22,788.828
23,780.433
24,743.510
25,686.562
26,656.260
27,636.242
28,612.858
29,585.556
30,558.013
31,536.762
32,479.039
33,388.822
34,326.060
35,296.807
36,286.253
37,276.167
38,271.366
39,263.699
40,262.128
41,260.349
42,257.226
43,262.808
44,260.285
45,264.478
46,258.066
47,253.344
