 ,Value
1,255.959
2,260.099
3,264.321
4,269.742
5,275.553
6,265.711
7,265.687
8,268.815
9,271.422
10,274.423
11,275.772
12,272.076
13,271.370
14,272.804
15,270.525
16,267.665
17,262.684
18,268.403
19,275.766
20,286.904
21,310.722
22,331.205
23,352.161
24,379.509
25,460.056
26,632.058
27,741.259
28,581.791
29,447.309
30,409.439
31,357.811
32,298.770
33,273.017
34,262.128
35,256.737
36,253.683
37,253.992
38,253.370
39,256.257
40,253.365
41,250.268
42,251.002
43,248.333
44,246.227
45,243.702
46,245.314
47,246.396
48,247.444
49,246.845
50,247.075
51,247.013
52,249.813
53,250.478
54,247.004
