 ,Value
1,259.844
2,257.284
3,262.490
4,263.175
5,259.553
6,261.381
7,264.808
8,268.032
9,274.790
10,274.370
11,277.689
12,279.046
13,280.948
14,280.197
15,281.323
16,282.345
17,288.061
18,289.677
19,297.003
20,302.677
21,307.086
22,313.759
23,321.930
24,325.874
25,335.924
26,348.162
27,372.598
28,414.196
29,473.020
30,560.999
31,668.067
32,701.789
33,647.976
34,551.070
35,455.164
36,407.108
37,377.634
38,362.571
39,353.974
40,353.341
41,359.496
42,363.236
43,360.350
44,348.025
45,338.126
46,330.470
47,328.689
48,327.204
49,324.155
50,317.254
51,312.565
52,309.395
53,305.551
54,297.444
55,292.080
56,291.009
57,291.398
58,294.717
59,290.725
60,288.279
61,283.097
62,276.003
63,277.601
