 ,Value
1,271.133
2,278.229
3,278.489
4,277.763
5,284.147
6,287.858
7,286.265
8,287.864
9,288.167
10,290.419
11,291.880
12,298.029
13,298.069
14,299.073
15,303.740
16,309.616
17,317.040
18,322.992
19,332.477
20,354.198
21,378.751
22,440.504
23,529.396
24,612.564
25,653.984
26,672.464
27,655.688
28,593.956
29,512.669
30,442.490
31,410.996
32,389.198
33,380.926
34,382.288
35,378.623
36,373.705
37,370.072
38,364.695
39,357.830
40,348.801
41,344.388
42,341.962
43,340.723
44,339.133
45,331.977
46,334.045
47,333.288
48,328.842
49,321.505
