 ,Value
1,260.800
2,262.489
3,263.869
4,266.294
5,268.537
6,269.715
7,272.279
8,274.565
9,274.911
10,278.931
11,285.809
12,293.354
13,294.602
14,295.233
15,295.882
16,301.086
17,306.747
18,323.322
19,351.670
20,414.576
21,529.193
22,678.220
23,788.905
24,867.936
25,1001.856
26,1098.660
27,1025.423
28,864.180
29,682.691
30,517.368
31,419.711
32,371.035
33,357.453
34,345.357
35,341.139
36,346.041
37,348.955
38,347.657
39,341.770
40,351.975
41,376.867
42,370.234
43,359.345
44,364.382
45,337.997
46,316.742
47,297.824
48,286.933
49,280.126
50,272.213
