 ,Value
1,371.121
2,350.101
3,532.695
4,560.279
5,497.579
6,512.319
7,633.709
8,695.496
9,877.842
10,960.356
11,872.255
12,699.339
13,645.690
14,620.504
15,700.139
16,683.133
17,508.083
18,658.919
19,661.766
20,596.410
21,508.288
22,533.146
23,493.095
24,468.038
25,372.173
26,271.123
27,191.336
28,298.708
29,362.308
30,496.313
31,585.126
32,401.489
33,256.873
34,335.961
35,387.557
36,454.121
37,404.079
38,334.825
39,328.364
40,411.826
41,336.881
42,167.748
43,206.119
44,321.957
45,334.688
46,323.390
