 ,Value
1,262.916
2,261.190
3,260.797
4,259.653
5,262.665
6,267.290
7,270.059
8,268.136
9,266.495
10,264.778
11,260.886
12,263.534
13,266.501
14,266.098
15,265.086
16,266.486
17,267.320
18,271.730
19,281.514
20,290.142
21,309.662
22,367.615
23,540.763
24,744.813
25,681.487
26,510.439
27,466.174
28,419.155
29,332.031
30,286.265
31,266.211
32,255.147
33,250.306
34,247.095
35,247.955
36,250.688
37,248.221
38,246.534
39,244.171
40,244.463
41,245.085
42,246.431
43,246.878
44,246.865
45,247.389
46,246.414
