 ,Value
1,252.913
2,250.244
3,252.016
4,255.307
5,252.361
6,253.984
7,254.587
8,256.233
9,258.865
10,256.546
11,258.950
12,264.181
13,266.508
14,265.819
15,272.023
16,274.563
17,286.210
18,312.958
19,371.480
20,469.939
21,548.128
22,648.564
23,904.547
24,1142.780
25,1030.645
26,751.310
27,567.870
28,473.488
29,416.220
30,370.486
31,332.432
32,313.907
33,320.956
34,307.231
35,305.874
36,297.588
37,298.218
38,298.547
39,308.466
40,305.564
41,300.952
42,294.567
43,291.194
44,287.224
45,284.901
46,280.465
47,280.447
48,276.151
49,273.989
