 ,Value
1,631.267
2,626.304
3,573.621
4,389.180
5,399.120
6,552.479
7,622.469
8,513.536
9,433.323
10,428.923
11,356.782
12,377.499
13,340.443
14,383.751
15,422.095
16,425.416
17,293.378
18,162.218
19,144.934
20,127.739
21,202.647
22,355.648
23,530.251
24,471.870
25,348.440
26,318.414
27,280.172
28,291.721
29,274.828
30,191.677
31,83.984
32,114.076
33,102.540
34,179.775
35,309.463
36,351.011
37,333.329
38,249.133
39,307.865
40,329.926
41,312.464
42,294.736
43,254.458
44,187.535
45,275.739
46,292.308
47,425.461
48,496.867
49,517.288
