 ,Value
1,114.847
2,3.918
3,0.061
4,23.007
5,399.011
6,832.554
7,742.494
8,797.498
9,1004.510
10,1135.031
11,647.522
12,295.158
13,145.761
14,126.846
15,277.435
16,478.328
17,514.217
18,473.345
19,513.630
20,895.209
21,972.954
22,936.301
23,1149.171
24,1543.780
25,1401.585
26,1069.850
27,377.596
28,180.059
29,290.250
30,510.336
31,765.250
32,1134.065
33,1538.764
34,1770.483
35,919.804
36,620.141
37,459.137
38,340.447
39,154.226
40,172.230
41,701.356
42,1233.813
43,838.945
44,481.502
45,366.569
46,167.972
47,334.877
