 ,Value
1,287.865
2,268.895
3,26.598
4,43.604
5,70.177
6,13.209
7,24.203
8,148.998
9,189.632
10,261.423
11,270.211
12,252.230
13,170.309
14,122.661
15,145.422
16,52.017
17,189.158
18,315.120
19,330.815
20,270.815
21,250.624
22,189.568
23,468.262
24,689.820
25,562.109
26,285.087
27,351.102
28,401.895
29,400.233
30,426.535
31,518.498
32,481.135
33,401.142
34,365.690
35,381.238
36,371.991
37,456.260
38,388.858
39,272.073
40,256.896
41,181.272
42,149.142
43,120.203
44,167.434
45,186.649
46,268.166
47,204.468
48,354.759
49,457.118
50,219.115
51,248.522
52,382.402
53,349.969
54,336.176
55,402.625
56,519.792
57,739.675
