 ,Value
1,178.199
2,194.045
3,101.811
4,191.500
5,432.530
6,746.439
7,515.540
8,250.832
9,104.995
10,52.123
11,311.351
12,518.496
13,525.802
14,205.916
15,76.281
16,479.644
17,779.314
18,804.845
19,594.361
20,536.311
21,290.919
22,159.213
23,718.892
24,1722.194
25,1704.089
26,1108.708
27,935.840
28,897.888
29,583.849
30,462.138
31,309.628
32,165.356
33,139.966
34,339.941
35,788.831
36,1007.372
37,1055.024
38,974.138
39,536.371
40,189.456
41,47.747
42,34.666
43,52.360
44,192.878
45,291.622
46,140.748
47,59.074
48,102.629
49,168.453
50,163.038
51,19.018
