 ,Value
1,42.597
2,117.788
3,178.656
4,169.189
5,169.512
6,180.033
7,251.433
8,227.684
9,208.782
10,312.004
11,322.545
12,164.802
13,101.493
14,87.261
15,175.792
16,192.876
17,164.114
18,130.770
19,92.656
20,47.104
21,82.222
22,105.425
23,160.905
24,182.583
25,111.535
26,82.667
27,157.540
28,196.698
29,162.199
30,159.952
31,234.427
32,236.216
33,301.154
34,413.406
35,540.836
36,528.583
37,536.171
38,479.521
39,361.802
40,203.963
41,146.472
42,143.662
43,115.252
44,95.520
45,99.882
46,131.429
47,203.416
48,353.191
49,403.006
50,435.951
51,316.049
52,208.242
53,232.754
54,357.560
55,533.559
56,577.250
57,535.875
58,365.954
59,201.450
60,209.699
61,308.944
62,230.383
63,262.499
64,391.347
65,343.049
