 ,Value
1,304.401
2,297.013
3,218.838
4,179.001
5,67.403
6,62.491
7,83.546
8,97.736
9,173.353
10,174.961
11,141.375
12,118.174
13,87.463
14,69.485
15,90.611
16,55.047
17,15.268
18,2.922
19,13.691
20,30.757
21,14.303
22,3.783
23,45.486
24,10.612
25,63.328
26,36.462
27,63.744
28,82.187
29,66.380
30,53.891
31,49.813
32,40.199
33,36.077
34,66.344
35,111.151
36,146.189
37,280.191
38,288.239
39,131.685
40,155.347
41,96.763
42,107.133
43,62.564
44,60.208
45,149.488
46,68.498
47,74.454
48,79.301
49,69.025
50,109.632
51,93.665
52,46.943
53,5.341
54,21.267
55,114.693
56,259.144
