 ,Value
1,1113.951
2,1244.686
3,1273.766
4,1091.971
5,829.747
6,436.683
7,376.285
8,374.520
9,531.429
10,566.152
11,383.037
12,772.155
13,1274.369
14,1670.443
15,1626.589
16,1327.164
17,1181.806
18,1059.105
19,961.195
20,670.761
21,462.796
22,307.703
23,339.966
24,404.749
25,780.463
26,800.278
27,804.275
28,1415.025
29,1648.444
30,1413.456
31,1240.998
32,1135.997
33,1287.159
34,923.766
35,311.325
36,256.416
37,352.253
38,466.492
39,382.687
40,471.572
41,565.008
42,507.682
43,463.090
44,229.435
45,148.283
46,595.856
47,1208.727
