 ,Value
1,402.786
2,352.356
3,262.424
4,244.157
5,214.062
6,154.554
7,254.715
8,417.813
9,402.650
10,311.165
11,520.890
12,754.251
13,654.233
14,579.601
15,448.483
16,438.431
17,388.401
18,264.655
19,234.720
20,208.999
21,190.973
22,288.237
23,338.050
24,324.939
25,297.313
26,386.536
27,413.841
28,396.658
29,340.831
30,264.871
31,270.927
32,227.799
33,208.029
34,375.049
35,391.447
36,357.718
37,434.201
38,494.693
39,480.303
40,405.356
41,536.262
42,605.706
43,511.469
44,545.791
45,465.814
46,346.308
47,399.798
48,455.487
49,380.414
50,306.049
51,313.960
52,348.484
