 ,Value
1,660.996
2,605.071
3,562.218
4,523.721
5,514.392
6,484.595
7,496.926
8,350.466
9,348.082
10,407.865
11,343.634
12,348.324
13,425.098
14,533.171
15,598.760
16,587.090
17,454.841
18,448.522
19,605.094
20,686.836
21,637.563
22,505.769
23,328.827
24,246.352
25,212.032
26,373.155
27,394.613
28,367.288
29,401.841
30,398.230
31,303.078
32,360.687
33,501.906
34,483.717
35,501.587
36,553.493
37,446.112
38,508.389
39,568.206
40,635.310
41,513.424
42,419.025
43,687.200
44,747.866
45,775.025
46,814.758
47,671.023
48,456.682
49,515.614
50,651.722
51,586.970
52,366.941
53,245.004
