 ,Value
1,222.114
2,274.601
3,335.347
4,319.648
5,288.221
6,293.128
7,329.887
8,238.907
9,281.429
10,320.981
11,355.465
12,316.045
13,323.420
14,376.390
15,425.492
16,537.239
17,479.709
18,428.244
19,450.240
20,497.745
21,514.578
22,515.884
23,535.810
24,511.824
25,506.793
26,455.296
27,510.889
28,571.576
29,534.255
30,496.587
31,587.411
32,644.180
33,574.532
34,535.359
35,563.605
36,725.850
37,837.553
38,713.471
39,543.638
40,491.059
41,555.113
42,562.748
43,641.000
44,659.344
45,641.704
46,594.538
47,578.017
