 ,Value
1,351.179
2,617.746
3,549.292
4,859.710
5,1216.776
6,1280.892
7,1183.441
8,550.856
9,372.620
10,592.266
11,640.745
12,537.753
13,618.864
14,763.618
15,631.215
16,568.356
17,765.163
18,810.629
19,693.285
20,840.946
21,796.384
22,470.787
23,290.575
24,339.336
25,368.892
26,319.141
27,452.611
28,375.757
29,413.848
30,371.219
31,724.994
32,1024.690
33,1028.896
34,823.241
35,587.621
36,401.569
37,342.999
38,570.648
39,816.631
40,338.632
41,141.603
42,234.481
43,76.209
44,18.978
45,0.000
46,20.517
