 ,Value
1,1089.499
2,1401.939
3,1554.539
4,1412.509
5,1262.608
6,1292.540
7,819.421
8,470.381
9,483.174
10,345.241
11,384.638
12,146.386
13,7.361
14,5.898
15,46.984
16,158.685
17,316.582
18,961.256
19,1270.127
20,1110.871
21,1010.216
22,486.022
23,84.624
24,290.302
25,299.422
26,264.426
27,931.199
28,1215.450
29,1445.953
30,1143.304
31,1060.077
32,1276.101
33,2086.275
34,2425.118
35,1701.680
36,922.549
37,730.097
38,689.097
39,854.670
40,1752.516
41,2579.120
42,2351.701
43,1812.261
44,702.329
45,70.682
46,194.360
47,980.056
48,1222.788
49,1037.973
