 ,Value
1,274.030
2,279.933
3,279.445
4,285.562
5,292.300
6,297.206
7,293.972
8,288.052
9,290.320
10,293.298
11,301.570
12,303.547
13,309.554
14,320.420
15,331.531
16,352.482
17,379.927
18,416.929
19,467.138
20,581.619
21,936.607
22,1413.950
23,1400.738
24,927.809
25,560.778
26,416.949
27,363.511
28,341.687
29,334.694
30,325.626
31,319.111
32,307.858
33,299.958
34,293.038
35,288.245
36,284.670
37,283.970
38,285.075
39,287.685
40,284.879
41,284.512
42,285.681
43,280.883
44,279.017
45,279.110
46,275.669
