 ,Value
1,384.237
2,394.645
3,364.166
4,376.755
5,302.703
6,305.776
7,300.297
8,339.991
9,295.180
10,244.070
11,343.538
12,569.932
13,540.590
14,379.995
15,459.190
16,504.535
17,567.463
18,518.996
19,588.812
20,674.658
21,564.191
22,410.828
23,477.322
24,444.796
25,353.378
26,262.577
27,332.511
28,266.080
29,241.247
30,202.000
31,228.266
32,211.269
33,209.856
34,208.076
35,252.506
36,386.165
37,502.960
38,509.509
39,390.733
40,500.817
41,377.232
42,461.185
43,488.792
44,387.976
45,342.506
46,217.589
47,180.276
48,273.289
49,265.635
50,297.429
