 ,Value
1,286.363
2,292.343
3,298.689
4,301.324
5,312.879
6,320.445
7,324.444
8,336.753
9,354.717
10,380.368
11,403.561
12,431.996
13,458.380
14,486.011
15,508.550
16,536.317
17,551.493
18,552.058
19,555.466
20,590.020
21,684.499
22,817.461
23,900.326
24,872.854
25,698.907
26,519.866
27,438.164
28,402.064
29,384.698
30,371.427
31,355.905
32,344.095
33,329.627
34,319.049
35,310.290
36,301.157
37,295.562
38,292.287
39,288.482
40,286.682
41,279.547
42,280.450
43,278.992
44,273.732
45,272.957
46,275.594
